school_id,cn_name,en_name,tags,faculty,school,category,entry_month,duration,tuition,interview,objectives,apply_requirements,language_requirements,analysis,curriculum,url,degree
,金融学硕士,Master of Finance,"商科, 金融, 商学院",商学院,新南威尔士大学,金融,2/5/9月,1年,60500澳元/年,无,新南威尔士大学金融学硕士项目由行业内的领先学者与研究人员授课，并且与金融部门有密切联络，课程具有一定的挑战性，适合有意向在金融专业继续深造的金融专业本科毕业生，以及想要获得高级金融学位并提升现有金融知识的专业人士。新南威尔士大学金融学硕士项目教授学生金融行业内最新的理论知识与实用技能，让学生能在金融职业生涯中获得竞争优势。项目提供多样化的专业发展方向选择，包括公司金融学、资金管理、国际金融与投资银行业务等，以满足学生个性化的专业发展与职业道路需求。同时，新南威尔士大学金融学硕士项目给予学生先前学习认定：成功通过澳大利亚CFA的学生，能够免修一门课程。此外，针对先前没有完成CFA的学生，项目也能够为其顺利通过CFA而助力。新南威尔士大学金融学硕士项目的毕业生具有广阔的就业前景，能够胜任银行业务员、财务顾问、金融经纪人等职位，或从事公司财务、资金管理、国际金融以及投资银行业务等工作。,"具有认可的学士学位（或同等学历），并且达到平均学分（65%或更高水平），由新南威尔士大学研究生课程入学计算器换算的分数确定；和
学士学位主修金融学（至少7门课程）；和
金融专业课程达到平均学分（65%或更高水平），由新南威尔士大学研究生课程入学计算器换算的分数确定。
如果申请者成功完成CFA课程并通过CFA 3个级别的考试，可能会获得1门课程的豁免",雅思: 7; 托福: 94,UNSW的Master of Finance是专为已完成本科金融专业的毕业生设计的专业学位，旨在提供更高级的金融知识和技能。该项目是在与金融行业的密切磋商中开发的，将使学生接触到金融领域的最新思想和研究。该项目侧重于为学生提供最新的金融理论和实践技巧，使他们能够在职业生涯中取得竞争优势。学生将受到行业领先的学术和研究人员的指导，学习到有关金融的最新理论和实际技巧。就业服务：该项目将使学生在金融职业中获得竞争优势，通过获取关于理论和实际技巧的知识，使他们能够根据自己的职业发展需求和选择的职业道路专业化。毕业生可以成为银行业专业人员、企业财务部、金融顾问、金融经纪人、基金管理、国际金融和投资银行。招生特点：申请该专业需要具备本科金融专业背景，并且需要提交相关的申请材料，包括成绩单、推荐信等。此外，考虑到UNSWBusinessSchool在澳大利亚的声誉和排名，该项目的竞争可能会激烈，因此建议申请者在申请前充分了解项目要求和学校的录取标准。同时，考虑到金融行业的特性，具备良好的数学和分析能力也将有助于成功完成该项目。,金融实证方法与应用 Empirical Techniques and Applications in Finance; 金融机构风险管理 Financial Risk Management for Financial Institutions; 金融实证研究 Empirical Studies in Finance; 金融理论与政策 Financial Theory and Policy; 公司金融学 Corporate Finance; 金融学（通用） Finance (General); 资金管理 Funds Management,https://degrees.unsw.edu.au/master-of-finance/?studentType=international,
,建筑学硕士,Master of Architecture,"社科, 建筑, 墨尔本设计学院",墨尔本设计学院,墨尔本大学,建筑,2/7月,3年,58468澳元/年,无,墨尔本大学建筑学硕士项目的学生将掌握以下技能：1. 从事高级环境设计所需的前沿技能；2. 具备建筑历史、理论和技术的基础，从而设计出与时间、地点、人物、文化相关的创新性建筑；3. 管理高级建筑项目、领导或参与跨学科项目团队所需的高级技能；4. 以可持续的观点采用新材料和科技设计环境友好型可持续建筑的能力。,"申请3年制（只适用于2月入学）：
- 具有澳大利亚本科学位（WAM至少达到65%）或同等学历，不限专业背景，需要提交设计作品集
- 本科阶段需要完成过1门设计工作室课程和1门艺术/建筑学/建筑环境/设计历史课程，或具备同等背景
申请2年制：
- 具有澳大利亚本科学位（WAM至少达到65%）或同等学历，需要建筑学背景，需要提交设计作品集",雅思: 6.5; 托福: 79,无,建筑学硕士工作室A Master of Architecture Studio A; 建造方法A Construction Methods A; 建筑学文化1：现代主义 Architectural Cultures 1: Modernism; 建筑学硕士工作室B Master of Architecture Studio B; 建筑技术 Architectural Technology; 建筑学文化2：后现代主义 Architectural Cultures 2: After Modernism; 建筑学硕士工作室C Master of Architecture Studio C,https://study.unimelb.edu.au/find/courses/graduate/master-of-architecture/,
,工商管理硕士与法学硕士双学位,Double Degree MBA and LLM,"商科, 工商管理, 商学院",商学院,西澳大学,工商管理,1月,2年,79000澳元/年,无,西澳大学工商管理硕士与法学硕士双学位课程将商科和法律硕士两个学位结合起来，为法律专业人士提供实施商业技能的机会。完成工商管理硕士第一年和法律硕士第二年后，学生将学习更多的法律专业知识，同时获得领导和管理技能，以应对充满活力的工作场所的挑战。西澳大学全日制强化工商管理硕士课程为学生做好了获得学生想要的工作的准备。西澳大学法律硕士课程为律师提供了扩展现有知识和技能的机会。该课程包括个性化领导力发展项目和一对一指导，由世界一流领导力学院开发。学生还将接受职业指导，并为合作伙伴组织进行战略分析和咨询项目。学生还可以享受来自ASX顶级公司和政府部门高管和经理的大师课程，并直接与商学院董事会成员联系。西澳大学法律硕士课程为法律毕业生提供了一系列的学科选择，学生可以专攻或选择各种学科来拓宽学生的法律专业知识。该课程包括国际商事仲裁、家庭法、财产法和就业法。,同时满足工商管理硕士和法学硕士的入学要求,雅思: 7; 托福: 100,无,会计学 Accounting; 领导自我与他人：领导力挑战 Leading Self and Others: Leadership Challenge; 经济管理与战略 Economic Management and Strategy; 财务管理 Managerial Finance; 组织行为学 Organizational Behavior; 战略分析与咨询项目 Strategic Analysis and Consulting Project; 数据驱动的决策 Data Driven Decision Making,https://www.uwa.edu.au/study/Courses/Master-of-Business-Administration-and-Master-of-Laws-MBA,
,教育领导力硕士（2年制）,Master of Educational Leadership （2 years),"社科, 教育, 教育学院",教育学院,莫纳什大学,教育,2/7月,2年,41600澳元/年,无,莫纳什大学教育领导力硕士（2年制）项目是为有抱负和实践领导跨教育环境设计的。在一个日益复杂、多样化和技术丰富的世界中，该项目将提高学生的批判性、创造性和创新性的行动能力，以应对所面临的挑战。学生将发展专业知识和技能，以领导一个全球化的世界，并思考超越国界，以做出改变。学生将从不同的背景中探索和理解教育领导。,具有澳大利亚学士学位（或同等学历），不限专业背景，至少达到平均学分60%,雅思: 6.5; 托福: 79,无,"与教育背景下的研究互动 Interacting with research in education contexts; 在全球范围内调查教育问题 Investigating education issues in global contexts; 社会正义的教育领导 Educational leadership for social justice; 政策、政治和权力 Policy, politics and power; 教育领导的调查 Educational leadership inquiry; 教育组织、文化和变革 Educational organisations, culture and change; 道德领导与教育决策 Ethical leadership and decision making in education",https://www.monash.edu/study/courses/find-a-course/educational-leadership-d6013?international=true,
,金融分析硕士,Master of Financial Analysis,"商科, 金融, 商学院",商学院,新南威尔士大学,金融,2/5/9月,1年,60500澳元/年,无,新南威尔士大学金融分析硕士项目以会计或金融方面的前度学位与实质性研究为基础，致力于拓展会计或金融专业毕业生对金融分析领域的理解与专业能力掌握。项目为学生提供在会计学院与银行与金融学院的众多专业中进行选择的机会，以便给予学生有针对性（即专家）的金融分析资格。在新南威尔士大学金融分析硕士项目的学习过程中，学生将学习从事投资分析、资金管理、CFO角色或任何与商务分析相关的职业所需要的高水平技能，为未来职业发展打下坚实基础。项目参照会计学院及银行与金融学院内最前沿的教学与研究方法，为学生提供高度灵活的，可以满足不同职业期望的课程项目。通过丰富多样的课程选择，学生能够在战略技巧、风险分析与管理、评估、项目发展、管理等多方面获得能力的提升。顺利完成新南威尔士大学金融分析硕士项目的学习后，学生将能深入理解金融与会计的关键概念，并运用其分析实际的商务问题；能够运用批判性思维与问题解决能力以应对相关金融问题或议题；在使用文字或口头形式交流商务概念和信息时，能做到逻辑清晰、表达准确；并有能力自觉反思小组学习过程的有效性。,"具有认可的学士学位（或同等学历），需要金融、会计或密切相关学科背景，并达到2:2荣誉学位或更高水平，由新南威尔士大学澳大利亚商学院确定；或
具有认可的研究生证书或研究生文凭（或同等学历），需要相关学科背景，并且达到平均学分或更高水平，由新南威尔士大学澳大利亚商学院确定；或
具有认可的学士学位（或同等学历），需要相关学科背景，且至少修完7门金融或会计课程，并且达到平均学分，由新南威尔士大学澳大利亚商学院确定；或
具有认可的学士学位（或同等学历），需要金融相关或会计相关学科背景，并且达到平均学分或更高水平，具备2年全日制同等专业研究生经验，其中至少1年在组织中担任金融或会计职位的专业工作经验，并且具备认可的专业协会的会员资格，由新南威尔士大学澳大利亚商学院确定。
注意：在特殊情况下，申请者如具备其他未列出的相关资历及经验，学校可能会考虑其申请，这符合新南威尔士大学关于先前学习认证的政策和程序，申请者需要证明他们通过正式或非正式学习获得了与该课程入学资格相同的知识和技能（学习成果）
这可以通过资格证书、与课程或项目学习成果相关的评估活动记录、来自工作场所、社区或其他环境的证明相关技能、知识或能力的经验示例、需要达到某些资格的专业组织的会员资格或工作场所主管对技能、知识或能力的证明来证明，任何相关文件都应附在申请表中，并由该项目的学术协调员进行考虑",雅思: 7; 托福: 94,"作为澳洲第一商学院的项目，该项目不仅可以拓展学生在财务分析方面的能力，还将发展战略技能，风险分析和管理，估值和项目开发/管理相关领域能力。就业服务：作为亚太地区顶尖的商学院，该项目毕业生不仅拥有超过90,000名校友，还在创业方面拥有超过300个学校友网络可以寻找创始人和朋友。曾经的毕业生多担任银行专家、首席财务官、公司财务主管、财务顾问、金融分析师、财务代理、基金经理、国际金融家、投资银行家。招生特点：申请者需要持有金融、会计或相关学位。",国际财务报表分析 International Financial Statement Analysis; 企业战略管理 Enterprise Strategy for Manage; 商业风险管理 Business Risk Management; 无形资源管理 Managing Intangible Resources; 电子商务：策略与流程 E-Business: Strategy & Process; 综合报告 Integrated Reporting; 财务会计 Financial Accounting,https://www.unsw.edu.au/study/postgraduate/master-of-financial-analysis?studentType=international,
,教育硕士,Master of Education,"社科, 教育, 文学院",文学院,麦考瑞大学,教育,2/7月,1.5年,37400澳元/年,无,"高素质的教师在支持学生充分发挥潜力方面发挥着关键作用。通过建立您现有的知识和经验，您可以加强您的领导能力，以指导和指导您的同事，并提高他们的教学水平和领导能力。

教育硕士可以帮助您制定全校范围的课程，并领导政策和实践改革，以加强不同教育环境中的教学和学习。它可以使您能够扩展在应对不断变化的教育环境时所需的批判性思维能力，并学习如何开发、实施和评估创新的循证解决方案。","符合下列条件或持有认可的同等学历：
（申请1.5年制）具有相关领域的AQF level 7学士学位或认可的同等学历；或具有AQF level 7学士学位或认可的同等学历以及2年相关工作经验
（申请1年制）具有相关领域的AQF level 8荣誉学士学位或研究生文凭资格或认可的同等学历；或具有相关领域的AQF level 7学士学位或认可的同等学历以及2年相关工作经验 
相关领域：成人教育、文化研究、幼儿研究、教育学、历史、哲学、心理学、社会科学、社会学、教学、言语及语言病理学、社会工作、TESOL、语言与文学、艺术、法律
相关经验：在就业或志愿活动中作为顾问；在教育、政府、非政府、专业及社区组织（例如：公共图书馆、博物馆、艺术展览馆）担任专业培训和/或领导角色",雅思: 6.5; 托福: 83,无,"教育研究 Educational Research; 教育研究奖学金 Scholarship in Educational Studies; 独立教育研究 Independent Study in Education; 土著教育：战略与研究 Indigenous Education: Strategies and Research; 教育评估 Educational Assessment; 课程的丰富、思考和创造力 Enrichment, Thinking and Creativity in Curriculum; 引领新教师的学习 Leading the Learning of New Teachers",https://www.mq.edu.au/study/find-a-course/courses/master-of-education,
,低排放能源技术硕士,Master of Low Emission Energy Technologies,"工科, 能源, 工程学院",工程学院,西澳大学,能源,2/7月,2年,50700澳元/年,无,随着从传统排放控制的液化天然气到更清洁、更可持续的能源载体（如氢和氨）的深刻转变，西澳大学低排放能源技术硕士课程在为学生准备这一变革之旅方面发挥着关键作用。毕业后，学生将有能力通过获得核心概念的详细知识和理解，包括能源出口矢量、评估环境和能源效率影响的能力，以及设计战略能源出口计划的能力，弥合传统能源出口方法与未来新兴可持续能源矢量之间的差距。学生将了解三个关键的跨学科领域 - 经济学和管理、地下油藏开采和封存以及低排放能源发电，此外，可以选择通过选修课程来进一步发展风险管理技能。本课程的目的是为学生提供弥合传统和新兴能源出口实践之间差距的知识，并确保学生在毕业时具备驾驭不断变化和多方面的行业的多功能性。,"申请者必须具备以下条件：
(a) 西澳大学认可的专业工程硕士或工程（荣誉）学士学位，或同等学历；和
(b) 相当于西澳大学加权平均分至少达到65%。",雅思: 6.5; 托福: 82,无,未找到课程设置,https://www.uwa.edu.au/study/courses/master-of-low-emission-energy-technologies,
,数字营销硕士,Master of Digital Marketing,"商科, 市场营销, 墨尔本商学院",墨尔本商学院,墨尔本大学,市场营销,3/7月,1.5年,58892澳元/年,无,墨尔本大学数字营销硕士项目面向商科学士毕业生或早期职业营销专业人士，旨在教授学生如何设计数字客户体验，哪些数字指标很重要，如何最好地制作创意病毒内容以及行业的思想领袖和最佳实践的例子。该项目通过一系列专业的高级课程，如客户体验设计、数字营销指标、内容营销和数字营销的思想领导力，为学生在这个快速变化的领域的职业生涯做好准备。本课程学术严谨、以实践为导向，面向全球。,"具有本科学位或同等学历，需要市场营销背景，或商业/贸易学位背景（主修市场营销）
请注意：没有主修市场营销的先前学位的申请者不符合该学位的入学资格，根据满足入学要求的情况学校鼓励申请者申请Master of Management (Marketing)",雅思: 7; 托福: 94,无,市场营销研究 Marketing Research; 用户体验设计 Customer Experience Design; 社交媒体与病毒式营销 Social Media and Viral Marketing; 数字营销指标 Digital Marketing Metrics; 数字营销分析 Digital Marketing Analytics; 数字零售 Digital Retail; 内容营销 Content Marketing,https://study.unimelb.edu.au/find/courses/graduate/master-of-digital-marketing/,
,机械工程工学硕士,Master of Engineering (Mechanical Engineering),"工科, 机械工程, 工程学院",工程学院,莫纳什大学,机械工程,2/7月,1年,56300澳元/年,无,莫纳什大学机械工程工学硕士项目旨在培养学生具备采用系统方法来设计、监测复杂机械工程在可再生能源、航空航天、建筑、交通和生物医学设备等领域的表现所需的先进知识和能力。该专业适合应届毕业生、专业人士和管理人员，他们希望提升现有的设计和管理技能，并在机械工程领域发展先进的理论和应用知识。,"具有澳大利亚工程学学士学位*（或同等学历），需要与申请方向相关的学科背景（经学院认可），至少达到较高的平均学分（65%）
*相当于澳大利亚4年制工程学学士学位",雅思: 6.5; 托福: 79,无,高级工程数据分析 Advanced engineering data analysis; 组织和社会的专业工程师 Professional engineer in organisation and society; 工程研究实践 Research practice in engineering; 工程系统性能分析 Engineering systems performance analysis; 机械系统设计 Mechanical systems design; 可持续工程系统 Sustainable engineering systems; 能源效率和可持续性工程 Energy efficiency and sustainability engineering,https://www.monash.edu,
,教学硕士（0-5岁）,Master of Teaching (Birth to Five Years),"社科, 教育, 文学院",文学院,麦考瑞大学,教育,2月,2年,37400澳元/年,无,"当孩子们在开始上学之前接触到高质量的教育经历时，他们的学习能力以及他们在学校取得优异成绩的机会就会大大提高。优质的幼儿教育为阅读、数学和科学奠定了基础，并帮助幼儿发展他们的社交和情感技能。

教学硕士（0-5岁）将为您提供在学前环境（例如学前班和托儿中心）工作所需的专业知识和技能。该学位由澳大利亚儿童教育和护理质量管理局（ACECQA）认证，使您能够获得幼儿教师的专业资格。",具有AQF level 7学士学位资格或认可的同等学历，WAM达到55,雅思: 7.5; 托福: 105,无,幼儿哲学与教育学 Early Childhood Philosophy and Pedagogy; 儿童早期的健康与福祉 Health and Well-being in Early Childhood; 儿童早期发展 Early Childhood Development; 幼儿专业实践 1 Early Childhood Professional Practice 1; 背景中的家庭 Families in Context; 儿童早期发展 Issues in Early Childhood Policy and Pedagogy; 幼儿专业实践 1 Language and Literacy in Early Childhood,https://www.mq.edu.au/study/find-a-course/courses/master-of-teaching-birth-to-five-years,
,可再生与未来能源硕士,Master of Renewable and Future Energy,"工科, 能源, 工程学院",工程学院,西澳大学,能源,2/7月,2年,49800澳元/年,无,可再生能源技术的最新进展正在推动国家和全球范围内的能源产业转型，这包括新的和令人兴奋的工作机会。西澳大学可再生与未来能源硕士项目解决了为成熟市场提供相关可再生能源技术的工程专业人员的关键需求。可再生能源专业知识跨越许多学科，包括海洋可再生能源、生物质、地热、光伏、电动汽车以及微电网。西澳大学可再生与未来能源硕士项目的学生也将有大量的机会与业界建立联系，发展专业技能，并与来自世界各地的学生建立联系。,"申请者必须具备以下条件：
(a) 西澳大学认可的西澳大学专业工程硕士或工程学士学位或同等学历；和
(b) 相当于西澳大学加权平均分至少达到50%；和
(c) 成功完成西澳大学认可的先前高等教育课程，需要电气与电子工程、化学工程或机械工程或相关同源学科背景。",雅思: 6.5; 托福: 82,无,流体力学 Fluid Mechanics; 化学过程热力学 Chemical Process Thermodynamics; 电力与机械 Power and Machines; 电路与电子学 Circuits and Electronics; 化工与热能可再生能源 Chemical and Thermal Renewable Energies; 光伏及其在电力系统中的应用 Photovoltaics and its Application to Power Systems; 可再生能源电网整合 Grid Integration of Renewable Energy,https://www.uwa.edu.au/study/Courses/Master-of-Renewable-and-Future-Energy,
,信息技术硕士 / 商学硕士双学位,Double Degree Master of Information Technology / Master of Commerce,"工科, 计算机, 工程学院",工程学院,新南威尔士大学,计算机,2/5/9月,3年,62834澳元/年,无,新南威尔士大学信息技术硕士 / 商学硕士双学位项目的学生可以从21个专业中选择，以弥合信息技术和商业之间的知识和技能差距，通过该双学位课程学生将能够通过利用商业头脑和IT专业知识来最大限度地发挥社会影响，用创新的解决方案来解决问题，学生将学习到的商业敏锐度以及深厚的工程知识使其能够将工程解决方案带到更广泛的业务中，并在组织中发挥更有影响力的作用。,"标准2年制课程的入学要求如下：
- 具有相关学科3年制学士学位（AQF Level 7同等学历），平均成绩不低于65%，非211大学的学生平均成绩要求达到70%
相关学科包括：人工智能、深度学习、机器学习、机电一体化、自治系统、计算机科学、信息技术、软件工程、计算机工程、计算机科学与统计学、数据分析、数据库管理、物联网、网络工程、遥感、电子信息、通信技术、网络安全、网际安全、信息安全、管理信息系统、技术、工程
先验学习认证
根据背景申请者可能有资格获得最多72个学分
针对商学部分，申请者根据先前的商业学习（学士学位或更高水平）可能获得最多24个学分
针对信息技术部分，申请者可能获得24至48个学分
- 如果具有首尔协议认可的4年制软件或计算机工程学位或同等学历（包含以下内容），申请者将获得48个学分
1. 最后一年/顶点设计或研究项目，相当于2个学期（Semester）或3个学期（Term）的学习
2. 项目管理课程，以及
3. 至少2门涉及数据结构和算法的计算课程（或含有足够数据结构和算法经验的工作经验）
- 如果具有未经认证的4年制软件或计算机工程学位或同等学历（包含以下内容），申请者将获得24个学分
1. 最后一年/顶点设计或研究项目，相当于2个学期（Semester）或3个学期（Term）的学习
2. 项目管理课程
3. 至少2门涉及数据结构和算法的计算课程（或含有足够数据结构和算法经验的工作经验）
- 如果具有首尔协议认可的3年制计算机科学学士学位或同等学历（包含以下内容），申请者将获得24个学分
1. 最后一年/顶点设计或研究项目，相当于2个学期（Semester）或3个学期（Term）的学习
2. 项目管理课程
3. 至少2门涉及数据结构和算法的计算课程
4. 如果具备至少3年软件工程师、软件开发人员、软件架构师、数据分析师、机器学习工程师、高级应用工程师或数据工程师等职位的专业工作经验，申请者将获得24个学分",雅思: 6.5; 托福: 90,无,编程原理 Principles of Programming; 数据结构与算法 Data Structures & Algorithms; 数据库系统 Database Systems; 计算机网络与应用 Computer Networks & Applications; 项目管理 Project Management; 人工智能 Artificial Intelligence; 生物信息学 Bioinformatics,https://www.unsw.edu.au/study/postgraduate/master-of-information-technology-commerce?studentType=International,
,景观建筑硕士,Master of Landscape Architecture,"社科, 建筑, 墨尔本设计学院",墨尔本设计学院,墨尔本大学,建筑,2/7月,3年,58468澳元/年,无,墨尔本大学景观建筑硕士项目通过创新设计提升建筑和自然环境所需的知识和技能。通过在墨尔本大学景观建筑硕士项目的学习，学生将获得采用最新的材料和技术设计生态环保的现代景观所需的技能，对当代国际景观实践有更深入的理解。墨尔本大学景观建筑硕士项目使学生在跨学科的项目团队高效工作以及在专业领域直接应用知识所需的管理和交流技巧，在景观设计历史和理论方面打下深厚的基础。,"申请3年制（只适用于2月入学）：
- 具有本科学位（WAM至少达到65%）或同等学历，不限专业背景
- 如果申请者在大学学位中完成了至少25%的设计相关学习，需要提交设计作品集
申请2年制：
- 具有本科学位（WAM至少达到65%）或同等学历，需要景观建筑背景，需要提交设计作品集",雅思: 6.5; 托福: 79,无,景观设计工作室1：设计技术 Landscape Studio 1: Design Techniques; 景观植物 Landscape Plants; 景观造型 Shaping the Landscape; 景观设计工作室2：选址与设计 Landscape Studio 2: Site and Design; 表演生态学 Performative Ecologies; 园林建筑学历史 History of Landscape Architecture; 景观设计工作室3：思考过程 Landscape Studio 3 Speculations,https://study.unimelb.edu.au/find/courses/graduate/master-of-landscape-architecture/,
,工商管理硕士,MBA,"商科, 工商管理, 商学院",商学院,西澳大学,工商管理,1月,1.5年,50200澳元/年,无,西澳大学工商管理硕士（强化）项目为期一年，能够帮助有潜力的高级经理人通过定制模块、团队任务、案例研究与个人专业发展模式的学习安排快速提升商业敏锐度与领导力。西澳大学工商管理硕士（强化）项目的一大显著特色在于其包含了一项策略分析与咨询项目的研究学习。,"(a) 具有西澳大学认可的学士学位或同等学历；和
(b) 相当于西澳大学加权平均分至少达到60%；和
(c) 在相关职业具备至少3年专业经验。",雅思: 7; 托福: 100,无,会计学 Accounting; 领导自我与他人：领导力挑战 Leading Self and Others: Leadership Challenge; 经济管理与战略 Economic Management and Strategy; 财务管理 Managerial Finance; 组织行为学 Organizational Behavior; 战略分析与咨询项目 Strategic Analysis and Consulting Project; 数据驱动的决策 Data Driven Decision Making,https://www.uwa.edu.au/study/courses/master-of-business-administration,
,工程科学硕士（机器人）,Master of Engineering Science (Robotics),"工科, 计算机, 工程学院",工程学院,新南威尔士大学,计算机,2/5/9月,2年,60500澳元/年,无,新南威尔士大学工程科学硕士（机器人）项目提供了独特的机会，从许多学科结合各种基本元素来发展现代机器人和自主系统。该项目为学生提供知识、工具和策略，使他们能够设计和开发最先进的机器人系统。,"- 具有相关学科背景的学生：
需要完成4年制工学学士学位（或同等学历）或3年制工程科学学位（需要相关学科背景）
在满足要求的学士学位中平均成绩必须达到至少65%或同等水平，非211大学的学生平均成绩要求达到70%
相关学科包括：航空航天工程、飞机制造、控制系统工程、电气工程、制造工程、机械设计、制造与自动化、机械工程、机械电子工程、造船工程、机器人与自动化、软件工程
- 具有非相关学科背景的学生：
具有非相关背景的学生可以通过Graduate Certificate in Engineering Science/Master of Engineering Science pathway进入Master of Engineering Science课程
需要完成4年制工学学士学位（或同等学历）或3年制工程科学学位（任意工程学科背景）
在满足要求的学士学位中平均成绩必须达到至少65%或同等水平，非211大学的学生平均成绩要求达到70%
成功的申请者将通过Graduate Certificate in Engineering Science/Master of Engineering Science pathway进入Master of Engineering Science，学生在完成18个学分的基础课程后可转入Master of Engineering Science。总学习时间与具有相关背景的学生相同（2年/96 UoC），该途径不需要单独申请，具有非相关背景的申请者必须申请 Master of Engineering Science才能被考虑进入此途径
先前学习认证（学分转移）
新南威尔士大学承认许多学生都有专业经验或相关的先前学习，如果申请者在相关行业工作过或有相关的先前学习经验，则可能有资格获得学分，使其能够在短短1年内完成工程科学硕士学位，或者根据以前的学习和经验选择下面列出的其他加速选项
1年制课程：要求具有任意院校颁发的相关学科4年制荣誉学士学位（AQF Level 8同等学历），相关学科包括：机械电子工程、机器人与自动化工程、控制系统工程、机械设计、制造与自动化、软件工程、自动化与控制、电气与电信工程、电气工程、电力电子、 电力工程、电信工程
1年制课程：要求具有任意院校颁发的相关学科4年制学士学位（AQF Level 8同等学历）
1.3年制课程：要求具有任意院校颁发的相关学科3年制学士学位（AQF Level 7同等学历）
1.7年制课程：要求具有任意院校颁发的相关学科3年制学士学位（AQF Level 7同等学历）",雅思: 6.5; 托福: 90,适合想要探索和专注于不断发展的机器人和自动化领域的学生。学生可以结合多个学科的各种基本要素来开发现代机器人和自主系统，并使世界变得更美好。该项目为学生提供知识、工具和策略，使他们能够设计和开发最先进的机器人系统。机器人学专业由核心学科知识、高级学科知识和高级研究组成。它为希望提升技能或扩展知识的专业机械/电气工程师或计算机科学家提供了扎实的研究生课程计划。就业服务：毕业生可以从事机器人工程师、项目工程师和系统工程师等职位，但仅涉及一部分。这一领域的许多工作岗位尚无法想象。可以从事自动化、机器人技术、工程技术、推进系统、控制系统相关行业和领域的职业。招生特点：新南威尔士大学工程学科排名高，是澳洲工程排名榜上的第一。该项目专为具有工程背景和认可本科学位的学生而设计。项目是1-2年的，可以根据学生相关的工作经验和学科背景进行学分减免，最高可减免为1年。985/211学生的GPA要求是72，双非的学生GPA要求是76。想早点毕业早点移民的学生可以考虑工程科学硕士，毕业后自己写三篇CDR去申请EA认证。申请前可以查看项目对学科背景的要求。,机器人系统控制 Control of Robotic Systems; 鲁棒性与线性控制系统 Robust and Linear Control Systems; 非线性控制系统分析与研究 Analysis and Design of Non Linear Control; 机器人设计研究 Robot Design; 高级算法 Advanced Algorithms; 物联网实验设计工作室 Internet of Things Experimental Design Studio; 人工智能 Artifical Intelligence,https://www.unsw.edu.au/study/postgraduate/master-of-engineering-science-robotics?studentType=international,
,教学硕士（小学）,Master of Teaching (Primary),"社科, 教育, 文学院",文学院,麦考瑞大学,教育,2/7月,2年,37400澳元/年,无,"支持儿童充分发挥潜力是一项真正有益的努力。小学教师在激发对学习的热爱以及帮助儿童发展基本技能（如识字和算术）以及身体和社会能力方面发挥着关键作用。

如果您持有公认的学士学位，教学硕士（小学）将支持您成为小学的反思性，弹性和研究型教师。该学位侧重于对学生学习和福祉产生积极影响的循证学习和教学，将支持您变得反应迅速并准备好学习。它将使您能够获得在小学任教或相关领域工作所需的知识、技能和资格，例如课程规划、教育研究和政策制定。","具有AQF level 7学士学位资格或认可的同等学历，满足学科内容知识要求
相关领域：满足NESA对小学教学的小学学科内容知识要求",雅思: 7.5; 托福: 105,无,"专业实践与研究导论 Introduction to Professional Practice and Research; 土著教育：战略与研究 Indigenous Education: Strategies and Research; 小学数学、科学和技术教学 1 Teaching Mathematics, Science and Technology in the Primary School 1; 小学数学、科学和技术教学 2 Teaching Mathematics, Science and Technology in the Primary School 2; 小学数学、科学和技术教学 3 Teaching Mathematics, Science and Technology in the Primary School 3; 专业实践1：在小学教英语 Professional Practice 1: Teaching English in the Primary School; 小学英语教学 2 Teaching English in the Primary School 2",https://www.mq.edu.au/study/find-a-course/courses/master-of-teaching-primary,
,工商管理硕士（弹性）,MBA (Flexible),"商科, 工商管理, 商学院",商学院,西澳大学,工商管理,1/4/8月,1.5年,60800澳元/年,无,西澳大学工商管理硕士（弹性）项目以当前商务发展趋势为教学重点，高度迎合想要获取更高水平管理能力的专业人士的学习需求。西澳大学工商管理硕士（弹性）项目指导学生在实践中全方位理解各项管理活动，通过多样化的学习与实践锻炼来加强学生的管理技能与能力。西澳大学工商管理硕士（弹性）项目的主要课程模块包括金融管理、人员管理、市场营销、经济与战略，并涵盖了广泛的选修课程以供学生选择学习。西澳大学工商管理硕士（弹性）项目的毕业生通常能够在工作中担任高级管理者的角色，比如企业合伙人、执行总裁、常务董事、执行经理、总经理、地区经理与职能经理。同时，毕业生还可以在商务发展、市场与销售领域谋求职业发展机会。,"申请者必须满足以下条件：
(a) 具有西澳大学认可的学士学位或同等学历，并且具备至少3年相关备有证明文件的专业经验；和
(i) 相当于西澳大学加权平均分至少达到60%的；或
(ii) 西澳大学认为足以圆满完成课程的至少额外2年相关备有证明文件的专业经验。或
(b)(i) 具有与本课程密切相关的西澳大学研究生证书；和
(ii) 相当于西澳大学加权平均分至少达到65%。或
(c)(i) 具有西澳大学认可的商业研究生证书，或西澳大学认可的同等学历（来自有工作经验要求的认证课程）；和
(ii) 相当于西澳大学加权平均分至少达到70%。",雅思: 7; 托福: 100,无,小型企业管理 Small Business Management; 创业与创新 Entrepreneurship and Innovation; 技术与创新管理 Management of Technology and Innovation; 社会影响：企业家与社会创新 Social Impact: Entrepreneurs and Social Innovation; 管理的法律原则 Legal Principles for Management; 谈判行为 Negotiation Behaviour; 全球能源与矿产市场 Global Energy and Mineral Markets,https://www.uwa.edu.au/study/Courses/Master-of-Business-Administration-Flexible-MBA,
