school_id,cn_name,en_name,tags,faculty,school,category,entry_month,duration,tuition,interview,objectives,apply_requirements,language_requirements,analysis,curriculum,url
,欧亚、俄罗斯与东欧研究硕士,"MA in Eurasian, Russian, and East European Studies","社科, 文化",,乔治城大学,文化,秋季,36学分,"59,895美元",无,无,申请者需要提供Self-Reported GPA申请者需要掌握课程相关的地区语言,雅思: 100; 托福: 7.5,无,未找到课程设置,https://grad.georgetown.edu/admissions/programs/russian-and-eastern-european-studies
,生物工程理学硕士,MS in Bioengineering,"工科, 生物工程",,塔夫茨大学,生物工程,春季/秋季,30学分,1697美元/学分,无,无,无,雅思: 90; 托福: 6.5,无,未找到课程设置,https://asegrad.tufts.edu/academics/explore-graduate-programs/bioengineering
,技术管理理学硕士,MS in Technology Management,"工科, 工程管理",,哥伦比亚大学,工程管理,STEM,秋季,36学分,无,无,"申请时材料必须完整,否则不予审核。",雅思: 100; 托福: 7,无,未找到课程设置,https://sps.columbia.edu/academics/masters/technology-management
,化学与生物工程工学硕士,MENG in Chemical and Biological Engineering,"工科, 化工",,普林斯顿大学,化工,秋季,1年,58790美元/年,无,无,无,雅思: 无要求; 托福: 无要求,"普林斯顿大学化学与生物工程系（Department of Chemical & Biological Engineering，缩写：CBE）研究生阶段开设有以下学位项目，分别是：MSE项目：为期18~24个月（相当于1.5~2年），属研究型项目，该项目录取竞争激烈，非常看重以往科研经历。 
M.Eng项目：为期1年，属授课型项目，无需撰写论文，要求申请者本科毕业，拥有化学工程或与之相关领域，如材料科学、化学、物理、生物或其它工程学科专业背景。",未找到课程设置,https://gradschool.princeton.edu/academics/fields-study/chemical-and-biological-engineering
,供应链管理硕士,MS in Supply Chain Management,"商科, 供应链管理",,明尼苏达大学双城分校,供应链管理,STEM,秋季,12个月,无,无,完成四年制本科学位至少三年工作经验,雅思: 79; 托福: 6.5,无,未找到课程设置,https://carlsonschool.umn.edu/degrees/master-science-in-supply-chain-management
,生物医学工程理学硕士,MS in Biomedical Engineering,"工科, 生物工程",,塔夫茨大学,生物工程,春季/秋季,30学分,50910美元/年,无,无,"一轮申请只可以申请两个专业,且在不同院系；要求学过包括生物学基础知识、常微分方程数学和一些基础工程课程（例如,流体力学、材料特性、热力学、电路理论）",雅思: 90; 托福: 6.5,无,未找到课程设置,https://engineering.tufts.edu/bme/prospective-students/masters
,传播，文化与科技硕士,"Master's in Communication, Culture & Technology","社科, 媒体与传播",,乔治城大学,媒体与传播,STEM,春季/秋季,2年,无,无,无,雅思: 100; 托福: 7.5,"乔治城大学传播、文化和技术硕士(简称cct), 是stem项目（也是因为这个吸引了很多传媒申请者），时长2年，是一个跨学科的项目。 项目主要从社会、经济、政治和文化的角度探讨我们如何使用传媒和技术来进行有效交流和沟通。项目自由度很高，只有3节必修课（Interdisciplinary 研究方法+ 技术概论）+Fundamentals of Technology+1个research methods的课（内容分析，社交网络分析，新媒体舆论分析等等），其他都允许学生根据自己的学术兴趣和职业需求进行选择。可以理论theoretical-orientated也可以应用application-oriented导向，可以偏传媒（Social Media Content Moderation，Critical Studies in Journalism，Communication Theory & Frameworks），偏business（有marketing，Corporate Social Responsibility等），也有非常tech的课程（Intro to Python & Machine Learning），可以满足不同学生的需求。 就业方面：CCT每年春假可以选择去一个其他城市参加tech tour和科技领域的校友面对面交流，积累人脉和经验！Digital Marketing是CCT的一个热门方向，不管是留美还是回国都会找到很不错的工作。往届毕业生就职于不同的专业领域和行业，包括咨询、非营利管理、公共管理、媒体关系、信息科学、产品设计、教育、新闻等等，还有一些毕业生选择继续攻读博士学位。学校会提供各种就业相关资源，例如毕业季的Career fair活动，每月一次的CCT alumni活动，以及就业岗位的推荐邮件。  录取方面：有春季！双非友好，转专业友好。size比较中等，每届55-70人左右，64%国际生。录取平均GPA 3.44，申请者需要提交TOEFL 100+/IELTS 7.5+, GRE不是必须的，但是如果能提交会给申请加分。此外，所有申请者还需提交一份15-25页的writing sample (不限主题但要体现分析思维) 和一段两分钟的video statement。",未找到课程设置,https://cct.georgetown.edu/
,地球与环境工程理学硕士,MS in Earth and Environmental Engineering,"工科, 环境工程",,哥伦比亚大学,环境工程,秋季/春季,30学分,2272美元/学分,机面（kira）,无,"语言没有最低分数要求,托福99分或以下；要么
雅思6.5或以下,PTE68或以下,多邻国119 或以下可能需要提高英语水平",雅思: 100; 托福: 7,"哥伦比亚大学地球与环境工程的硕士设置在哥伦比亚大学工程学院地球与环境工程系下，时长1.5年。该项目的重点是对原材料（矿物，能源和水）进行环境无害的开采和加工，以及对用过的材料的回收或适当处置。该项目还包括培养评估和补救过去对环境造成损害的技术。该项目有三个分支方向，分别是：水资源与气候风险（WaterResourcesandClimateRisks），可持续能源（SustainableEnergy），可持续采矿和材料（SustainableMiningandMaterials）。其中，很多入门级和高级选修课皆采用项目团队导向的方法进行教学，核心课程12学分，选修课程9学分，免费选修课程9学分。该专业设有多个研究中心和实验室，如地球环境科学中心，环境工程实验室等，设备和技术支持都很到位。 哥伦比亚大学地球与环境工程专业在美国还是比较容易找工作的，毕竟工科在美国很热门。劳工统计局的职业展望手册指出，环境工程预计将在2016-2026年间增长8.4%，接近所有职业7%的平均增长率。环境工程师的年薪中位数为86,800美元，主要就业州包括加利福尼亚、纽约和宾夕法尼亚。具体领域有矿物加工企业，环境行业，各行业的环境组织和负责环境和能源/资源保护的城市、州和联邦机构。 申请者必须拥有工程学、科学、数学、计算机科学或其他相关领域的本科学位。申请要求GPA3.0，需要GRE但没有最低分数要求，托福100，雅思7.",未找到课程设置,https://www.eee.columbia.edu/
,工商管理硕士,Master of Business Administration,"商科, 工商管理",,明尼苏达大学双城分校,工商管理,秋季,2年,"2,075美元/学分",无,无,GPA2.8,雅思: 90; 托福: 7,无,未找到课程设置,https://onestop2.umn.edu/pcas/viewCatalogProgram.do?programID=7262
,化学与生物工程工程理学硕士,MSE in Chemical and Biological Engineering,"工科, 化工",,普林斯顿大学,化工,秋季,1.5-2年,58790美元/年,无,无,无,雅思: 无要求; 托福: 无要求,"普林斯顿大学化学与生物工程系（Department of Chemical & Biological Engineering，缩写：CBE）研究生阶段开设有以下学位项目，分别是：MSE项目：为期18~24个月（相当于1.5~2年），属研究型项目，该项目录取竞争激烈，非常看重以往科研经历。 
M.Eng项目：为期1年，属授课型项目，无需撰写论文，要求申请者本科毕业，拥有化学工程或与之相关领域，如材料科学、化学、物理、生物或其它工程学科专业背景。",未找到课程设置,https://gradschool.princeton.edu/academics/fields-study/chemical-and-biological-engineering
,公共关系与企业传播硕士,Master's in Public Relations & Corporate Communications,"社科, 媒体与传播",,乔治城大学,媒体与传播,春季/秋季/夏季,2年,45810美元,无,无,无,雅思: 100; 托福: 7,"课程设置：乔治城大学公共关系和企业传播学硕士隶属于SCS学院，因此非常职业导向，课程与行业发展接轨，旨在提供全面而有效的企业传播知识，提高专业人才发展、实践及评估传播策略的能力，掌握企业的成功要素，通识来讲，就是偏公关方向啦。一共10节课，包括2节核心课（其中有一个capstone），3节基础技能课，包括沟通策略设计，公关文写作，研究方法等，以及丰富多样的选修课。

就业方面：毕业生就业去向主要就是企业传讯或者公共关系部门了。

录取方面：bar不算太高，比较看重学生的实习经历，有fall，spring，summer 3个时间的入学，比较自由。需要做wes, 需要writing sample,不需要G。",未找到课程设置,https://scs.georgetown.edu/programs/70/master-of-professional-studies-in-public-relations-and-corporate-communications/
,社会学和社会研究文学硕士,MA in Sociology and Social Research,"社科, 社会学与社工",,波士顿学院,社会学与社工,秋季,30学分,"62,950美元",无,无,GPA3.0及以上。,雅思: 100; 托福: 7,无,未找到课程设置,https://www.bc.edu/content/bc-web/schools/morrissey/departments/sociology/graduate/phd-ma
,环境健康数据科学硕士,MS in Environmental Health Data Science,"工科, 环境工程",,哥伦比亚大学,环境工程,STEM,秋季,36学分,无,无,先修课要求大学数学，包括一年微积分,雅思: 100; 托福: 7.5,无,未找到课程设置,https://www.publichealth.columbia.edu/academics/degrees/master-science/environmental-health-data-science
,气候科学与工程理学硕士,Master of Science in Climate Science and Engineering,"工科, 地球科学",,东北大学（美国）,地球科学,STEM,春季/秋季,2年,无,无,无,雅思: 79; 托福: 6.5,无,未找到课程设置,https://graduate.northeastern.edu/program/master-of-science-in-climate-science-and-engineering-19295/
,土木与环境工程工学硕士,MEng Civil and Environmental Engineering,"工科, 土木工程",,普林斯顿大学,土木工程,秋季,1年,58790美元/年,无,无,无,雅思: 无要求; 托福: 无要求,"普林斯顿大学土木与环境工程系（Department of Civil & Environmental Engineering）研究生阶段开设有以下学位项目，分别是：土木与环境工程理学硕士（Master of Science in Engineering，缩写：MSE）：为期2年，属研究型项目，要求申请者本科毕业，无专业背景要求，未设定本科GPA要求，要求递交GRE成绩，但未设定GRE最低分数要求。该项目要求学生修完10门课程，撰写论文，并在公开研讨会上展示，向被录取的学生提供RA或TA奖学金。 
工程硕士（Master of Engineering，缩写：M.Eng）：为期1年，属授课型项目，要求申请者本科毕业，无专业背景要求，未设定本科GPA要求，要求递交GRE成绩，但未设定GRE最低分数要求。该项目适合有志从事工程应用方面，并准备从事专业实践和咨询工作的人士申请。土木与环境工程系开设有两个M.Eng项目，分别是是结构工程硕士和环境工程与水资源硕士，入读这两个项目的学生均需要修完8门课程。",未找到课程设置,https://gradschool.princeton.edu/academics/degrees-requirements/fields-study/civil-and-environmental-engineering
,生物统计学硕士,MPH in Biostatistics,"理科, 数学",,埃默里大学,数学,秋季,2年,18900美元/学期,无,无,"本科GPA3.5以上,多元微积分（微积分 III）和线性代数课程,成绩为 B+ 或更好。 具有先前相关课程的学生可能会获得其生物统计学学位课程的学分。",雅思: 79-80; 托福: 6,埃默里大学的生物统计学硕士项目（MPH in Biostatistics）是一个职业导向professional/practice-based，为具有很强的定量技能和对健康科学感兴趣的学生设计的。该课程为期两年，学生将学习如何使用统计软件，如SAS、R和SPSS，并应用于生物学数据的分析。此外，埃默里大学还提供MSPH学位，这是一个学术研究导向型的项目，为有志于深入研究生物统计方法及其应用的学生设计，MPH项目则更侧重于公共卫生的应用实践 课程设置：课程介绍：生物统计专业的学术课程包括统计学、生物医学研究方法、流行病学、生物信息学等领域的基础知识和高级概念。该专业具备丰富的统计学知识和技能，学生将具体学习理论和实践知识，熟悉生物医学研究的设计和分析，以及掌握现代生物统计学的计算和编程技能。研究重点：生物统计专业侧重于应用统计学和数据分析方法来解决医学和公共卫生领域的问题，以支持健康研究和政策制定。学生将学习如何设计研究方案、收集和处理数据、执行统计推断和建模，以及解释和报告研究结果。专业的重点包括生物医学研究、流行病学、临床试验设计和分析、遗传学统计分析等。实践经验：埃默里大学的生物统计专业注重为学生提供实践经验，学生将有机会与教师和研究团队合作，参与真实的生物医学研究项目，应用所学的统计方法和工具解决实际问题。这种实践经验能够帮助学生将课堂学习与实际操作结合起来，培养他们在统计学及相关领域的技能和职业素养。 就业方面：埃默里大学生物统计专业拥有良好的就业前景。统计学和数据分析在医疗和公共卫生领域的需求越来越大，埃默里大学的生物统计专业致力于培养学生在这个领域的技能和知识，使他们能够胜任相关职业。大部分生物统计专业的学生会选择去PharmaceuticalCompany(制药公司)或者Biotech(生物技术公司)。 据美国劳工部统计，截止到2022年该领域的就业将增长27%，增长速度远远高于其他职业的平均水平。毕业生可以在各种机构和领域找到就业机会，包括医疗和公共卫生机构、制药公司、科研机构、学术界以及政府部门等。录取方面：申请埃默里大学生物统计学硕士项目的学生通常应具备统计学、数学、计算机科学或工程等相关学科背景。在成绩方面，申请者的GPA一般需达到3.5或更高，而更具竞争力的候选人往往拥有3.7及以上的GPA。此外，申请者应已完成多元微积分和线性代数的先修课程，并且成绩至少达到B+。具有数据分析或其他定量研究经验的申请者将获优先考虑。语言能力要求方面TOEFL总分至少需达到100分，雅思IELTS总分至少需达到7.0分。至于研究生入学考试GRE成绩，申请者至少应达到320分以上。,未找到课程设置,https://www.sph.emory.edu/departments/bios/degree-programs/mph-biostatistics/index.html
,企业与组织传播硕士,Master's Corporate & Organizational Communication,"社科, 传播",,东北大学（美国）,传播,秋季/冬季/春季/夏季,12-18个月,36800美元,无,无,无,雅思: 79; 托福: 6.5,无,未找到课程设置,https://www.northeastern.edu/graduate/program/master-of-science-in-corporate-and-organizational-communication-boston-198/
,社会工作硕士,Master of Social Work,"社科, 社会学与社工",,波士顿学院,社会学与社工,春季/夏季,2-3年,"60,030美元",无,无,招生委员会特别重视对当前社会问题的了解和在人类服务方面的专业或志愿者经验。GPA3.0及以上。,雅思: 100; 托福: 7.5,无,未找到课程设置,https://www.bc.edu/content/bc-web/schools/ssw/academics/msw-program.html
,可持续管理理学硕士,MS in Sustainablility Managemet,"工科, 环境工程",,哥伦比亚大学,环境工程,STEM,春季/秋季,36学分,无,无,"申请时材料必须完整,否则不予审核。",雅思: 100; 托福: 7,无,未找到课程设置,https://www.sustainability.ei.columbia.edu/
,获取失败,获取失败,,,,,,,,,,,,,,无
,获取失败,获取失败,,,,,,,,,,,,,,无
,企业和组织沟通硕士,MS in Corporate & Organizational Communication,"社科, 传播",,东北大学（美国）,传播,冬季/春季/夏季/秋季,12-18个月,"36,800美元",无,无,无,雅思: 79; 托福: 6.5,无,未找到课程设置,https://cps.northeastern.edu/program/master-of-science-in-corporate-and-organizational-communication-boston/
,全球事务硕士,Master in Global Affairs,"社科, 国际关系",,塔夫茨大学,国际关系,秋季,16个月,"53,548美元",无,无,需要两到四年的专业经验。,雅思: 100; 托福: 7,无,未找到课程设置,https://fletcher.tufts.edu/programs/masters/MGA
,生物统计学硕士,MSPH Biostatistics,"理科, 数学",,埃默里大学,数学,秋季,2年,21900美元/学期,无,无,"本科GPA3.5以上,多元微积分（微积分 III）和线性代数课程,成绩为 B+ 或更好。 具有先前相关课程的学生可能会获得其生物统计学学位课程的学分。",雅思: 79-80; 托福: 6,"埃默里大学生物统计与生物信息学系提供了MPH in Biostatistics和Master of Science in Public Health in Biostatistics(MSPH) 2种学位项目。
MSPH生物统计学是学术研究导向型的项目research/academic-based，为具有很强的量化技能和研究兴趣的学生设计的，提供生物统计方法及其应用方面的严格训练，以及流行病学课程和其他公共卫生学科的核心课程。该项目为期2年，共计48个学分，要求申请者撰写研究论文。MSPH项目也可以作为进入生物统计学博士项目的坚实准备。  
MPH 项目则是职业导向professional/practice-based，为具有很强的定量技能和对健康科学感兴趣的学生设计的。同样为期2年，共计42个学分，更侧重于公共卫生的应用实践。MPH的学生主要学习生物统计学、流行病学和其他公共卫生学科的核心课程。同时可以参与hands-on experiences，通过实践项目将他们的生物统计学技能和公共卫生领域联系起来。
录取方面：属于高端选手的主申选择。",未找到课程设置,https://www.sph.emory.edu/departments/bios/degree-programs/msph-biostatistics/index.html
,可持续科学理学硕士,MS in Sustainablity Science,"工科, 环境工程",,哥伦比亚大学,环境工程,STEM,夏季/春季/秋季,1.5年,无,无,拥有科学、工程、数学或相关领域本科学位,雅思: 100; 托福: 7,无,未找到课程设置,https://www.science.ei.columbia.edu/
,公共事务硕士,Master in Public Affairs,"社科, 公共政策与事务",,普林斯顿大学,公共政策与事务,秋季,两年,60410美元,无,无,有公共服务相关的专业、实习、或者志愿经历。绝大多数MPA 学生之前都有全职工作经验。强烈推荐学过数学、统计学和经济学课程。,雅思: 无要求; 托福: 无要求,无,未找到课程设置,https://spia.princeton.edu/graduate-admissions/master-public-affairs
,大众传播硕士,MA in Mass Communication,"社科, 媒体与传播",,明尼苏达大学双城分校,媒体与传播,秋季,2年,72000美元,无,无,无,雅思: 79; 托福: 6.5,"课程设置：明尼苏达大学双城分校大众传播硕士是一个学术研究型的硕士，旨在为学生在大众传播领域进行学术研究做准备。学生的研究成果和论文发表在学术界受到广泛认可。  
课程自由度非常高，学生可以根据自己的研究方向，进行修课，例如广告学，新闻学研究，国际大众传播，大众传媒的结构、过程和效果，政治传播等等。需要完成thesis。

就业方面：学生会从事传播政策或研究领域的相关工作，或者继续深造读博。",未找到课程设置,https://hsjmc.umn.edu/graduate/degree-programs/ma-mass-communication
,国际商务硕士,Master of International Business,"商科, 管理",,塔夫茨大学,管理,STEM,秋季/春季,两年,无,无,Quantitative Methods Track是STEM,雅思: 100; 托福: 7,无,未找到课程设置,https://fletcher.tufts.edu/programs/masters/MIB
,国际事务硕士,Master of International Affairs,"社科, 公共政策与事务",,哥伦比亚大学,公共政策与事务,春季/秋季,21个月,65242美元,无,无,"学习过定量相关课程,例如经济学和统计学课程",雅思: 100; 托福: 7,跟MPA相比，差别没有很大，整体的方向和侧重是基本一致的，差别只是MIA更关注国际关系，而且要求学生另外会一门外语。,未找到课程设置,https://www.sipa.columbia.edu/academics/programs/master-international-affairs
,公共政策硕士,Master in Public Policy,"社科, 公共政策与事务",,普林斯顿大学,公共政策与事务,夏季,一年,60410美元,无,无,"入学要求至少有七年在公共或非营利部门的全职工作经验。
 field of concentration: I - International Relations, II - International Development, III - Domestic Policy, or IV - Economics and Public Policy",雅思: 无要求; 托福: 无要求,无,未找到课程设置,https://spia.princeton.edu/graduate-admissions/master-public-policy
,生物统计学硕士,Master of Science in Biostatistics,"理科, 数学",,乔治城大学,数学,秋季,17个月,27360美元/学期,无,无,"本科3.0以上,统计学、多变量微积分和线性代数基础课程。",雅思: 80; 托福: 7,"乔治城大学生物统计学硕士Master of Science in Biostatistics，还能申: Application is due July 1st for Fall Admission。
项目为期17个月，共需修读32个学分，core课程为学生提供在计算computational、定量quantitative和生物医学biomedical sciences方面的理论和方法，Research Practicum让学生有机会将这些理论和方法运用到实际的biomedical research，同时为学生提供由国内和国际公认的专家参加的每两周一次的seminars，可以更好的了解生统的前沿发展。值得一提的是：生物统计学向部分优秀的MS学生提供RA岗位。毕业生就业去向也还挺不错的，生物医药公司，healthcare consulting之类的。继续读博的也占了不小的比例。
先修课要求：申请者须修读过多元微积分、线性代数和1门统计学课程。",未找到课程设置,https://biostatistics.georgetown.edu/ms/
,数据分析工程硕士,Master of Science in Data Analytics Engineering,"理科, 数据科学",,东北大学（美国）,数据科学,秋季,2年,53200美元,无,无,无,雅思: 79; 托福: 6.5,东北大学数据分析工程MSDAE项目隶属于工学院下。可选波士顿、西雅图或温哥华校区就读。课程设置：课程比较侧重实际的数据分析和应用。DAE重点在于学会数据清洗，把实际问题通过数学模型来模拟，分析，实现和优化模型，并从数据分析中找到答案，基于数据分析给出决策建议，以支持产品、流程、系统与企业决策的改进。此外，选修课还提供了很多细分应用领域的选择，毕竟大数据时代，数据无处不在，可以更好地培养学生成为不同行业的数据分析专业人士。就业方面：基于东北大学的coop政策与location优势，就业非常不错。录取方面：录取难度不算太高，有相关DA经历会更加分。非常建议早申。,未找到课程设置,https://www.northeastern.edu/graduate/program/master-of-science-in-data-analytics-engineering-14810/
,公共管理硕士,Master of Public Administration,"社科, 公共政策与事务",,哥伦比亚大学,公共政策与事务,春季/秋季,21个月,65242美元,无,无,"学习过定量相关课程,例如经济学和统计学课程",雅思: 100; 托福: 7,"项目共4学期，54个学分，定量与定性并重，关注政策制定和管理层面；分为国际金融与经济政策，经济与政治发展政策，人权与人道主义政策，城市与社会政策，国际安全政策，能源与环境等6个细分方向，其中以国际金融与经济政策方向最热门。入学后有机会更换方向，但还是建议一开始申请就有针对性地选择方向。

就业方面：就业去向上因为有了国际金融与经济政策这个方向，51.2%都去了private；再加上哥大和SIPA学院的名号，毕业生大部分都进入了big-name机构。

录取方面：申请除了不错的三维成绩（3.8+/325+/110+），也看重在国际组织、政府机构、NGO/NPO、智库等的实习经历，同时也建议有含金量不错的海外交换加持；有春季入学项目。",未找到课程设置,https://www.sipa.columbia.edu/academics/programs/master-public-administration
,创新与管理硕士,MS in Innovation & Management,"工科, 工程管理",,塔夫茨大学,工程管理,秋季,30学分,50910美元,无,无,无,雅思: 100; 托福: 7,"Tufts是被低估了的学校...明明很好的学校,但在国内知名度不高... 塔夫茨大学创新管理隶属于工程学院下的戈登研究所（The Gordon Institute）。时长1年，STEM项目，2016fall开的，就是专门针对理工科背景学生想转商科管理岗的。旨在培养在本科阶段已经掌握扎实的工程和科学技术，未来期望结合商业技能和领导力成为一名有创新精神的复合型领导人才。在这个一年的项目中，学生将从丰富的课程中培养当前技术型驱动社会中所需要的产品创新、营销、金融和领导力。除了core课程之外，项目特色在于Innovation Sprints，学生可以一边上课一边学以致用，完善自己的创新idea；summer 学期则是通过实习或者创业来实现项目落地。 
录取方面：项目一直注重小而精的模式，平均size在25人左右，国际生比例在48%。录取背景就是项目所说的理工科stem背景。有面试，看重innovation spirit。",未找到课程设置,https://asegrad.tufts.edu/program/innovation-management-masters
