ID,中文名称,英文名称,标签,所属院校,专业方向,入学时间,项目时长,项目学费,项目规模,就业比例,面试形式,培养目标,申请要求,语言要求,顾问解析,课程设置,申请时间,项目链接,项目官网,排名,学校类型,是否STEM
65650,国际事务硕士,Master of International Affairs,"社科, 公共政策与事务",哥伦比亚大学,公共政策与事务,春季/秋季,21个月,65242美元,无,无,无,无,"学习过定量相关课程,例如经济学和统计学课程",无,<p>跟MPA相比，差别没有很大，整体的方向和侧重是基本一致的，差别只是MIA更关注国际关系，而且要求学生另外会一门外语。</p>,无,无,https://www.compassedu.hk/majr_65650,无,,"社科, 公共政策与事务, 常春藤联盟, 美国大学协会, 全球大学校长论坛",否
71770,化学与生物工程工学硕士,MENG in Chemical and Biological Engineering,"工科, 化工",普林斯顿大学,化工,秋季,1年,58790美元/年,无,无,无,无,无,无,"<p>普林斯顿大学化学与生物工程系（Department of Chemical & Biological Engineering，缩写：CBE）研究生阶段开设有以下学位项目，分别是：MSE项目：为期18~24个月（相当于1.5~2年），属研究型项目，该项目录取竞争激烈，非常看重以往科研经历。</p><p> 
M.Eng项目：为期1年，属授课型项目，无需撰写论文，要求申请者本科毕业，拥有化学工程或与之相关领域，如材料科学、化学、物理、生物或其它工程学科专业背景。</p>",无,无,https://www.compassedu.hk/majr_71770,无,,"工科, 化工, 常春藤联盟, 美国大学协会, 全球大学校长论坛",是
73969,获取失败,获取失败,,,,,,,,,,,,,,,,https://www.compassedu.hk/majr_73969,无,,,否
72832,计算机科学理学硕士,MS in Computer Science,"工科, 计算机",威斯康星大学麦迪逊分校,计算机,STEM,秋季,30学分,无,无,无,无,鼓励具有计算机科学或相关领域背景的学生申请入学。 至少，申请人应该有一些编程经验，包括数据结构和机器组织课程，并且应该有一年的微积分或以上大学水平的数学。,无,无,无,无,https://www.compassedu.hk/majr_72832,无,,"工科, 计算机, 公立常春藤, 十大联盟, 美国大学协会",是
65649,公共管理硕士,Master of Public Administration,"社科, 公共政策与事务",哥伦比亚大学,公共政策与事务,春季/秋季,21个月,65242美元,无,无,无,无,"学习过定量相关课程,例如经济学和统计学课程",无,"<p>项目共4学期，54个学分，定量与定性并重，关注政策制定和管理层面；分为国际金融与经济政策，经济与政治发展政策，人权与人道主义政策，城市与社会政策，国际安全政策，能源与环境等6个细分方向，其中以国际金融与经济政策方向最热门。入学后有机会更换方向，但还是建议一开始申请就有针对性地选择方向。</p><p>

就业方面：就业去向上因为有了国际金融与经济政策这个方向，51.2%都去了private；再加上哥大和SIPA学院的名号，毕业生大部分都进入了big-name机构。</p><p>

录取方面：申请除了不错的三维成绩（3.8+/325+/110+），也看重在国际组织、政府机构、NGO/NPO、智库等的实习经历，同时也建议有含金量不错的海外交换加持；有春季入学项目。</p>",无,无,https://www.compassedu.hk/majr_65649,无,,"社科, 公共政策与事务, 常春藤联盟, 美国大学协会, 全球大学校长论坛",是
65577,金融硕士,MS in Finance,"商科, 金融",布兰迪斯大学,金融,STEM,秋季,16个月,无,无,无,无,"财务管理(或通过CFA 1级也可)、定量方法（例如统计,微积分,计量经济学、数据分析、数学分析、实分析、线性代数、高级数学或数学建模）,成绩至少达到B等级",无,"<p>布兰迪斯大学金融硕士项目MSF为期16个月</p><p>课程设置：除了核心课程以外，MSF提供了资产管理、企业金融与估值、金融科技、风险管理等细分方向的选择，课程也是for CFA的。summer 有个practicum（100%），学生可以通过实习（或者field trip/directed research）等获得行业体验，运用所学知识更好地解决商业环境下的实际问题；此外，项目也协助学生准备专业资格认证考试，包括CFA和FRM。</p><p>就业方面：项目的career services为学生提供高度个性化的个人职业咨询和指导服务，组织开展活动包括研讨会、行业小组讨论、校园招聘、公司参观和年度招聘会等等。学生在美实习率有72%，工作留美率52%，就业去向也主要是金融服务业的金融岗位。</p><p>录取方面：建议GMAT 680+, GPA 3.3+, 托福 100+（雅思7+）, 有video essay，收到录取的几乎都有奖学金。</p>",无,无,https://www.compassedu.hk/majr_65577,无,,"商科, 金融, 新常春藤",是
65526,商业分析硕士,MS in Business Analytics,"商科, 商业分析",威斯康星大学麦迪逊分校,商业分析,STEM,秋季,2学期,无,无,机面（kira）,无,无,无,"<p>威斯康星大学麦迪逊分校商业分析偏冷门。19fall是第一届，再加上Wisconsin商学院本身也不太热门，因为整体偏爱美本，这个项目目前并不算太红。</p><p>课程设置：</p><p>课程其实不是特别软，时长1年（可延到1年半），课程设置看起来该有的Data acquisition, analysis, and visualization 和R/Python/SQL/Tableau都有了。有Digital Marketing和Digital Risk & Insurance Technology track</p><p>录取方面：</p><p>从申请Prerequisite来看，偏好商科背景，数理背景只要求微积分。</p><p>就业方面：</p><p>23年的平均薪酬为83247美元，入职公司包含：Tik Tok、德勤、dell等公司</p>",无,无,https://www.compassedu.hk/majr_65526,无,,"商科, 商业分析, 公立常春藤, 十大联盟, 美国大学协会",是
65657,获取失败,获取失败,,,,,,,,,,,,,,,,https://www.compassedu.hk/majr_65657,无,,,否
73019,统计学理学硕士,MS in Statistics,"理科, 数学",弗吉尼亚大学,数学,STEM,秋季,30学分,无,无,无,无,所有申请人都应完成以下科目的课程：微积分（通过多变量），基于微积分的课程或概率和统计课程，以及线性代数课程.GPA3.0,无,无,无,无,https://www.compassedu.hk/majr_73019,无,,"理科, 数学, 公立常春藤, 新常春藤, 美国大学协会",是
71769,化学与生物工程工程理学硕士,MSE in Chemical and Biological Engineering,"工科, 化工",普林斯顿大学,化工,秋季,1.5-2年,58790美元/年,无,无,无,无,无,无,"<p>普林斯顿大学化学与生物工程系（Department of Chemical & Biological Engineering，缩写：CBE）研究生阶段开设有以下学位项目，分别是：MSE项目：为期18~24个月（相当于1.5~2年），属研究型项目，该项目录取竞争激烈，非常看重以往科研经历。</p><p> 
M.Eng项目：为期1年，属授课型项目，无需撰写论文，要求申请者本科毕业，拥有化学工程或与之相关领域，如材料科学、化学、物理、生物或其它工程学科专业背景。</p>",无,无,https://www.compassedu.hk/majr_71769,无,,"工科, 化工, 常春藤联盟, 美国大学协会, 全球大学校长论坛",是
65596,金融硕士,Master of Science in Finance,"商科, 金融",迈阿密大学,金融,STEM,春季/夏季/秋季,10个月,无,无,无,无,无,无,"<p>迈阿密大学赫伯特商学院Miami Herbert Business School的金融硕士 Master of Science in Finance为期10个月</p><p>

课程设置：课程让学生可以根据自身兴趣和未来就业意向灵活地选择课程，使学生能够成为拥有创新思维的国际化金融领袖；包含可以在商学院的合作伙伴企业中进行实战的Capstone project或者internship。</p><p>

就业方面：迈阿密作为美国的第二大金融中心，拥有60多家国际银行和100多家另类投资公司，是吸引创业、初创企业、金融科技、对冲基金和私人股本的新兴磁石。城市的氛围和金融基础给学生提供了良好的实习和就业机会。赫伯特商学院也是CFA合作院校，课程中包含了75%的CFA Level 1考试知识点，院校也为学生提供CFA备考课程。</p><p>

录取方面：录取上对国际生非常友好（占60%），建议有GPA 3.0+，对GMAT没有很高的要求。</p>",无,无,https://www.compassedu.hk/majr_65596,无,,"商科, 金融, 大西洋海岸联盟",是
65655,公共管理硕士–经济政策管理,MPA in Economic Policy Management,"社科, 公共政策与事务",哥伦比亚大学,公共政策与事务,夏季,1年,65347美元,无,无,无,无,"学习过定量相关课程,例如经济学和统计学课程,拥有至少三年工作经验",无,<p>为处在职业生涯中期的专业人士设计的，需要至少有3年工作经验，不适合应届生申请。</p>,无,无,https://www.compassedu.hk/majr_65655,无,,"社科, 公共政策与事务, 常春藤联盟, 美国大学协会, 全球大学校长论坛",否
65707,经济学硕士,Master of Science in Economics,"商科, 经济",威斯康星大学麦迪逊分校,经济,STEM,春季/秋季,3-4学期,无,无,无,无,建议先修课程：一个学期的微观经济学导论，一个学期的宏观经济学导论，一个学期的中级微观经济学，三个学期的微积分和线性代数。,无,<p>威斯康辛麦迪逊UWM的综排虽然没有很高，但经济系专排非常好，是一所老牌经济学强校。项目初衷其实就是经济学PhD跳板，理论层面上侧重更深层次地理解宏微观计量，尤其值得一提的是，项目比同类经济学硕士项目更注重计量方法训练和实证研究。因为如今的就业市场和PhD研究都需要强有力的量化能力，以及微观经济和宏观经济理论的基础做支撑，通过经济学项目提供的经济学、分析思维和统计分析方面的强化训练，使学生不论是未来就业还是读博，都能在竞争激烈的环境里有一席之地。</p><p>课程设置：主要课程教授也都是系里最强的教授，一方面师资力量得到保证，另一方面在后续博士申请过程中推荐信也有很大优势。课程优势是可以选PhD的课程，再加上威斯康辛经济系是优势学科，无论申本校经济系PhD，还是往外申，课程方面也有很大帮助。但不足在于课程比较固定，自由度小。3学期毕业的话，10门课7门必修，必修课都很硬核，没什么应用领域导向，选修课的选择也不算非常多。作为一个designed for PhD的项目，每年的Ph.D. Placements官网也比较清楚，不像很多项目是几年的placements在一起，侧面说明每届的申博比例和placements还是很拿得出手的。</p><p>就业方面：就业去向包括金融机构（投行或商业银行或国内券商研究所）、经济咨询等。但UWM回国的话，reputation其实不太够；留美的话，location又不太好。因此，如果是就业导向的学生，其实不太建议选UWM。</p><p>录取方面：很注重量化背景，申请过程中需要填一个Math preparation form，对中国学生比较友好。</p>,无,无,https://www.compassedu.hk/majr_65707,无,,"商科, 经济, 公立常春藤, 十大联盟, 美国大学协会",是
71978,土木与环境工程工学硕士,MEng Civil and Environmental Engineering,"工科, 土木工程",普林斯顿大学,土木工程,秋季,1年,58790美元/年,无,无,无,无,无,无,"<p>普林斯顿大学土木与环境工程系（Department of Civil & Environmental Engineering）研究生阶段开设有以下学位项目，分别是：土木与环境工程理学硕士（Master of Science in Engineering，缩写：MSE）：为期2年，属研究型项目，要求申请者本科毕业，无专业背景要求，未设定本科GPA要求，要求递交GRE成绩，但未设定GRE最低分数要求。该项目要求学生修完10门课程，撰写论文，并在公开研讨会上展示，向被录取的学生提供RA或TA奖学金。</p><p> 
工程硕士（Master of Engineering，缩写：M.Eng）：为期1年，属授课型项目，要求申请者本科毕业，无专业背景要求，未设定本科GPA要求，要求递交GRE成绩，但未设定GRE最低分数要求。该项目适合有志从事工程应用方面，并准备从事专业实践和咨询工作的人士申请。土木与环境工程系开设有两个M.Eng项目，分别是是结构工程硕士和环境工程与水资源硕士，入读这两个项目的学生均需要修完8门课程。</p>",无,无,https://www.compassedu.hk/majr_71978,无,,"工科, 土木工程, 常春藤联盟, 美国大学协会, 全球大学校长论坛",是
73965,系统工程理学硕士,MS in Systems Engineering,"工科, 其他工科",弗吉尼亚大学,其他工科,STEM,春季/秋季,30学分,无,无,无,无,无,无,无,无,无,https://www.compassedu.hk/majr_73965,无,,"工科, 其他工科, 公立常春藤, 新常春藤, 美国大学协会",是
73007,应用金融硕士,MS in Applied Finance,"商科, 金融",乔治华盛顿大学,金融,STEM,春季/秋季,1年,无,无,无,无,"高等数学（6学分;微积分必须3学分）
微观经济学 （3学分）
宏观经济学 （3学分）
财务会计 （3学分）
管理金融 （3学分）
统计学 （3学分）",无,无,无,无,https://www.compassedu.hk/majr_73007,无,,"商科, 金融, 私立大学, 综合类研究型大学",是
65656,获取失败,获取失败,,,,,,,,,,,,,,,,https://www.compassedu.hk/majr_65656,无,,,否
72833,农业应用经济学理学硕士,MS in Agricultural and Applied Economics,"商科, 经济",威斯康星大学麦迪逊分校,经济,STEM,秋季,30学分,无,无,无,无,申请者应修过中级微观经济理论、中级宏观经济理论、两个学期的微积分和入门统计课程。,无,"<p>课程设置：项目是STEM, 包括 30 个学分的课程，论文optional。该课程通常需要3-4个学期才能完成。课程要求包括： 微观经济理论（3 个学分） 统计学和计量经济学（6 个学分） 经济分析（9 个学分） 选修课程（12 个学分） 。先修课要求：中级微观经济理论、中级宏观经济理论、两个学期的微积分和入门统计学。</p><p>就业方面：项目非常适合对数据分析、政府机构、非营利组织、咨询等职业感兴趣的学生，也适合作为PhD的跳板。</p><p>录取方面：如果申请econ没有录取的话，学校可能会调剂到农经专业，农经也是威斯康星比较好的专业，是stem而且和计量方面沾边。</p>",无,无,https://www.compassedu.hk/majr_72833,无,,"商科, 经济, 公立常春藤, 十大联盟, 美国大学协会",是
71921,土木与环境工程工程理学硕士,MSE in Civil and Environmental Engineering,"工科, 土木工程",普林斯顿大学,土木工程,秋季,2年,56010美元/年,无,无,无,无,无,无,"<p>普林斯顿大学土木与环境工程系（Department of Civil & Environmental Engineering）研究生阶段开设有以下学位项目，分别是：土木与环境工程理学硕士（Master of Science in Engineering，缩写：MSE）：为期2年，属研究型项目，要求申请者本科毕业，无专业背景要求，未设定本科GPA要求，要求递交GRE成绩，但未设定GRE最低分数要求。该项目要求学生修完10门课程，撰写论文，并在公开研讨会上展示，向被录取的学生提供RA或TA奖学金。</p><p> 
工程硕士（Master of Engineering，缩写：M.Eng）：为期1年，属授课型项目，要求申请者本科毕业，无专业背景要求，未设定本科GPA要求，要求递交GRE成绩，但未设定GRE最低分数要求。该项目适合有志从事工程应用方面，并准备从事专业实践和咨询工作的人士申请。土木与环境工程系开设有两个M.Eng项目，分别是是结构工程硕士和环境工程与水资源硕士，入读这两个项目的学生均需要修完8门课程。</p>",无,无,https://www.compassedu.hk/majr_71921,无,,"工科, 土木工程, 常春藤联盟, 美国大学协会, 全球大学校长论坛",是
65700,数学金融硕士,MS degree in Mathematical Finance,"商科, 金工金数",南加州大学,金工金数,STEM,春季/秋季,30学分,无,无,无,无,"先修课：一学期的实分析或高级微积分、一学期的线性代数和一学期的高级概率/统计。
建议：微观经济学、宏观经济学和偏微分方程和编程经验（MATLAB 和 C/C++）",无,"<p>南加州大学金融数学项目开设在文理学院的数学系下。</p><p>

课程设置：课程主要是数学+金融+经济三块，重点围绕随机微分方程，随机控制，再加上一些数模，数值分析方法，统计机器学习等非常math-intensive的内容；金融部分的课程从Marshall 选，偏金融入门，不是很quant；其他选经济学课程侧重回归分析，时间序列分析，博弈论。优势在于系里有博士项目，有继续深造意愿的学生可以在读期间套磁导师做research，以及保证课程成绩优异（全A）,留校读博机会大。</p><p>

就业方面：和金融工程类似，留美的同学转data的居多，回国凭借USC的reputation进券商等金融机构。</p><p>

录取方面：因为size小，对数学先修课要求高，比金融工程项目难度高，偏好数学本科/辅修。</p>",无,无,https://www.compassedu.hk/majr_65700,无,,"商科, 金工金数, 帕克十二联盟, 美国大学协会, 环太平洋大学联盟",是
73619,健康政策与管理,MPH in Health Policy and Management,"社科, 公共政策与事务",哥伦比亚大学,公共政策与事务,STEM,秋季,2年,无,无,无,无,无,无,无,无,无,https://www.compassedu.hk/majr_73619,无,,"社科, 公共政策与事务, 常春藤联盟, 美国大学协会, 全球大学校长论坛",是
65589,金融硕士,MS in Finance,"商科, 金融",乔治华盛顿大学,金融,STEM,春季/秋季,12或24个月,无,无,无,无,"修过以下课程且取得相应学分：高等数学（6学分,其中3个学分必须是微积分）,微观经济学（3学分,宏观经济学（3学分、财务会计（3学分）,管理财务（3学分）统计（3学分）",无,"<p>乔治华盛顿大学是美国老牌名校，培养了数以万计的商政界人才，GWU综排也在全美前50，商学院排名全美第36名，经AACSB认证。GWU的MSF项目开设于1993年，是美国最早开设的MSF项目之一，GWU的MSF项目旨在培养具备一流金融实务知识和能力的复合型国际金融人才。</p><p>

课程设置：MSF项目课程侧重金融届所需的实际技能和知识，共12门课，48个学分，涵盖风险管理、金融工程、银行、公司金融、投资组合分析和管理等内容，注重将定量和计算机技能与金融理论和应用相结合。GWU的MSF项目以培养实战人才著称，课程设置包括了一个summer session。教学设施先进，有MSF专用计算机实验室，配备最新的金融数据库和软件，24小时开放。</p><p>

就业方面：GWU MSF毕业生就业前景广阔，众多毕业生就职于高盛、美林等知名投行及世界银行、国际货币组织等国际金融机构。</p><p>

录取方面：项目录取学生的平均GPA高于3.3，对国际学生友好（占77%）。</p>",无,无,https://www.compassedu.hk/majr_65589,无,,"商科, 金融, 私立大学, 综合类研究型大学",是
72829,金融经济理学硕士,MS in Financial Economics,"商科, 经济",威斯康星大学麦迪逊分校,经济,STEM,秋季,1年,无,无,无,无,无具体要求。,无,无,无,无,https://www.compassedu.hk/majr_72829,无,,"商科, 经济, 公立常春藤, 十大联盟, 美国大学协会",是
65699,金融工程硕士,MS in Financial Engineering,"商科, 金工金数",南加州大学,金工金数,STEM,春季/秋季,30学分,无,无,无,无,无,无,"<p>南加州大学也是少数同时开设金融工程和金融数学2个专业的学校之一，金融工程项目隶属于工学院，同时与Marshall 商学院以及文理学院经济系合办，金融工程旨在培养学生使用金融和经济学，工程学，应用数学和统计学等工具来解决诸如衍生证券估值，动态投资策略开发，风险管理等金融问题。</p><p>课程设置：项目时长1.5年，30个学分，其中必修课程18学分, 2门金融、商学或经济学选修课: 6-8学分，2门优化、模拟和随机系统领域选修课：6-8学分。非常interdisciplinary，通俗说就是各个学院的课程拼起来的，这种课程设置对学生的主动性要求更高，通过合理安排自己的选课去修到自己真正需要的课。亮点是南加州大学工学院允许在第一学期成绩优异的童鞋，申请转专业，有从金工转到CS37的案例。</p><p>就业方面：毕业生就业主要集中在投行，基金公司，资产管理公司等，或从事企业金融风险管理，金融合规等工作。项目没有公布具体的就业数据，因此也不参加金工领域的Quantnet/Risknet专业排名，一方面LA的地理位置不如NYC好找实习和工作，另一方面工学院的Career Services 主要集中在EE/CS方面，对金融工程专业的帮助比较有限。据就读学生反馈，国际生回国就业居多，毕竟USC 在国内的知名度和认可度都很不错，而且校友网大，大部分可以去到券商、基金等工作。</p><p>录取方面：南加州大学金融工程是难得有春季招生的项目，申请难度不算很高，可以作为金工保底或者弱quant商业背景想转金工（类似WUSTL MSF-Q）的选择。</p>",无,无,https://www.compassedu.hk/majr_65699,无,,"商科, 金工金数, 帕克十二联盟, 美国大学协会, 环太平洋大学联盟",是
72536,公共事务硕士,Master in Public Affairs,"社科, 公共政策与事务",普林斯顿大学,公共政策与事务,秋季,两年,60410美元,无,无,无,无,有公共服务相关的专业、实习、或者志愿经历。绝大多数MPA 学生之前都有全职工作经验。强烈推荐学过数学、统计学和经济学课程。,无,无,无,无,https://www.compassedu.hk/majr_72536,无,,"社科, 公共政策与事务, 常春藤联盟, 美国大学协会, 全球大学校长论坛",否
72620,工业工程硕士,MS in Industrial Engineering,"工科, 工业工程",哥伦比亚大学,工业工程,STEM,秋季/春季,一年,无,无,无,无,通常，申请人主修的是研究生学习的专业，但在某些项目中，可以接受相关engineering或science领域的专业。,无,无,无,无,https://www.compassedu.hk/majr_72620,无,,"工科, 工业工程, 常春藤联盟, 美国大学协会, 全球大学校长论坛",是
65591,金融硕士,Master of Finance,"商科, 金融",杜兰大学,金融,STEM,春季/秋季,10或18个月,无,无,无,无,无,无,<p>课程设置：杜兰大学金融硕士项目可以选择10个月或者18个月（带暑期实习），提供analytic，banking & financial service和energy三个细分方向，课程涉及买方/卖方，满足学生的不同职业需求。最值得一提的就是Energy能源金融方向，是杜兰的特色和优势所在，也是全美顶尖的，侧重能源金融交易。而且商学院常年与美孚、康菲、BP、壳牌等能源巨头合作研究、培养、开发所形成竞争优势。随着国内能源产业战略转型，能源产业的技术升级将主要靠大量的资本投入来支撑，我国的能源金融也必将随之迎来新的发展机遇。对于对能源金融感兴趣的同学来说，杜兰金融是个非常好的项目。</p><p>录取方面：有春秋2季入学，录取节奏非常快，可以作为69党的选择。</p>,无,无,https://www.compassedu.hk/majr_65591,无,,"商科, 金融, 美国大学协会, AACSB认证商学院",是
72779,电子及计算机工程理学硕士,MS in Electrical and Computer Engineering,"工科, 电气电子",加州大学圣塔芭芭拉分校,电气电子,STEM,秋季,1年,无,无,无,无,GPA3.0及以上。,无,无,无,无,https://www.compassedu.hk/majr_72779,无,,"工科, 电气电子, 公立常春藤, 环太平洋大学联盟, 国际公立大学论坛, 美国大学理事会",是
65578,金融硕士,MS in Finance,"商科, 金融",南加州大学,金融,STEM,秋季,16个月，36学分,无,无,机面（kira）,无,无,无,<p>南加州大学金融硕士项目隶属于马歇尔商学院（Marshall School of Business)，可以说是美国西海岸最好的商学院之一，相比UCLA Anderson和UC Berkeley Hass，Marshall的Specialized Master项目最为完善。</p><p>课程设置：20fall项目进行了一定的学制调整，之前是12个月，5月开学，现在是16个月，8月开学，12月毕业，直接带来2大好处，一是有summer可以做实习了，另一个是陆本不用担心国内7月才毕业，从而耽误申请了。核心课程上没有太多变化，3门选修的选择有变多。</p><p>就业方面：就业率在96%，就业去向也是主流的投行、商业银行、咨询、投资管理公司等，回国的也是去券商银行等金融机构。</p><p>录取方面：录取的三维标准还是比较稳定（3.5+，700+，320+），从学校最新的录取数据看是有扩招趋势的（20-21-22分别是62-86-99），感觉之后会对国际生/应届生更友好一些。</p>,无,无,https://www.compassedu.hk/majr_65578,无,,"商科, 金融, 帕克十二联盟, 美国大学协会, 环太平洋大学联盟",是
72537,公共政策硕士,Master in Public Policy,"社科, 公共政策与事务",普林斯顿大学,公共政策与事务,夏季,一年,60410美元,无,无,无,无,"入学要求至少有七年在公共或非营利部门的全职工作经验。
 field of concentration: I - International Relations, II - International Development, III - Domestic Policy, or IV - Economics and Public Policy",无,无,无,无,https://www.compassedu.hk/majr_72537,无,,"社科, 公共政策与事务, 常春藤联盟, 美国大学协会, 全球大学校长论坛",否
65665,公共事务硕士,Master of Public Affairs,"社科, 公共政策与事务",布朗大学,公共政策与事务,夏季,1年,74068美元,无,无,无,无,无,无,"<p>布朗大学MPA最早是开在陶伯曼公共政策和美国制度研究所的，偏侧重美国本土政策，目前已转到沃森公共事务研究所Watson Institute，没有那么本土导向了，也更适合国际生了。</p><p>

课程设置：项目时长改成了1年制，顺应大数据时代的潮流，现在也有了Data-driven Track，适合未来想做政策咨询或者其他private领域的学生。课程设置非常好，虽然时间短，但也有12门课。从经济、管理、政策分析、政治议题、量化的统计方法等非常的全面，选修课也提供Specialization的选择。项目最大的特色在于有一学期的Policy-In-Action Consultancy，对未来就业、提升简历都有很好的帮助。罗德岛的location不算特别好，但是离纽约也不远，想留美就业还是relocate到纽约更方便。</p><p>

录取方面：因为布朗本身就是一个小而精的学校，项目规模比较小，中国学生也不多。适合有藤校情节的学生，也是一个不错的选择。也有EA轮次non-binding，截止的比较早。</p>",无,无,https://www.compassedu.hk/majr_65665,无,,"社科, 公共政策与事务, 常春藤联盟, 美国大学协会, 大学研究协会",否
72831,获取失败,获取失败,,,,,,,,,,,,,,,,https://www.compassedu.hk/majr_72831,无,,,否
73064,获取失败,获取失败,,,,,,,,,,,,,,,,https://www.compassedu.hk/majr_73064,无,,,否
73509,近东研究硕士,MA in Near Eastern Studies,"社科, 文化",普林斯顿大学,文化,秋季,2年,"57,410 美元/年",无,无,无,无,请注意，近东研究项目不接受 2022-23 学年的文学硕士项目申请。,无,无,无,无,https://www.compassedu.hk/majr_73509,无,,"社科, 文化, 常春藤联盟, 美国大学协会, 全球大学校长论坛",否
