program_id,student_name,created_at,updated_at,school,applied_program,bachelor_university,bachelor_major,experience,admission_year,gpa,language_scores
,F同学,2024/2/17 12:12,2024/2/17 12:12,伦敦政治经济学院,区域与城市规划研究理学硕士,,城市管理,1. 天津市家庭结构变迁分析2. 天津市城市规划设计院助理实习生3. 天津市规划和自然资源局实习4. 第八届中国国际大学生互联网+创新创业大赛5. 2023清华中国公共案例分析大赛6. 可持续健康学习型城市7. 大连市建设“韧性城市”的路径与对策研究,大四,85.4,无
,L同学,2024/2/17 12:12,2024/2/17 12:12,伦敦政治经济学院,管理与战略理学硕士,,人力资源管理,1. 美赛2. 中信银行实习3. 全国大学生数学建模竞赛4. 全国市场调查与分析大赛5. 课程设计：资质过剩感知对员工网络闲散行为作用机制研究,大四,90.63,雅思7，GMAT650
,Z同学,2024/2/17 12:11,2024/2/17 12:11,伯明翰大学,公共管理理学硕士,青岛农业大学,广播电视编导,1. 某文化传媒有限公司制片2. 某集团北京分公司销售3. 某模式发展现状与趋势研究,已毕业,3.49,六级，不需要
,J同学,2024/2/17 12:14,2024/2/17 12:14,伯明翰大学,土木工程理学硕士,湖南大学,土木工程(桥梁工程),1. 建筑公司工程部2. 某某工程局工程部3. 某大桥方案设计及100m连续梁桥结构设计4. 预应力混凝土主梁设计5. 某类型桥型模型设计,一年工作经验,2.99,无
,Y同学,2024/2/17 12:14,2024/2/17 12:14,伯明翰大学,大气污染管理与控制理学硕士,南京信息工程大学,应用气象学,1. 气象局实习2. 气象台实习3. 全国大学生生命科学竞赛4. 课程设计：涡度相关观测系统的组成及储存项校正5. 飞机尾迹云的微物理特性及其对局部天气影响的研究6. 降雨特征及成因分析7. 课程设计：正压原始方程模式实习8. 共享杯科技资源共享服务创新大赛,大四,3.53,雅思6，无
,C同学,2024/2/17 12:11,2024/2/17 12:11,伯明翰大学,对外英语教学文学硕士,上海海洋大学,食品科学,1. 《xxx》对当今教育的启发2. 上海译国译民教育科技有限公司翻译实习生3. 翻译工作坊4. 某教育科技有限公司小学部英语教师5. xx省农村中学英语教师专业发展保障机制研究6. LanguageX翻译xx类文本优势分析——以《xxx》为例。7. 全国科技翻译研讨会综述,一年工作经验,88.19,无
,Z同学,2024/2/17 12:12,2024/2/17 12:12,伯明翰大学,数学、运筹学、统计学与计量经济学理学硕士,苏州科技大学,统计学,1. 毕业论文：二手房销售量的影响因素研究2. 大学生创新创业项目：信用风险度量3. 鼹鼠杯23期数据挖掘研习,已毕业,84.25,无语言
,S同学,2024/2/17 12:14,2024/2/17 12:14,伯明翰大学,数学、运筹学、统计学与计量经济学理学硕士,河北师范大学,数学与应用数学,1. 大学生创新创业训练计划项目-----校内二手平台小程序2. xxx统计局-国民经济统计实习生,大四,84.33,无
,M同学,2024/2/17 12:12,2024/2/17 12:12,伯明翰大学,道路管理与工程理学硕士,长沙理工大学,交通工程,1. 上海建工七建集团第三工程公司技术员2. 上海建工七建集团第三工程公司技术员3. 长沙市劳动西路-白沙路交叉口交通组织优化设计4. 课设《 某过江通道规划设计》5. 课程设计《加州高速公路交通数据处理及预测分析》6. 毕业论文《综合主客观因素的城市非机动车评价与优化》7. 长沙市劳动西路-白沙路交叉口交通组织优化设计8. 课设《 某过江通道规划设计》9. 课程设计《加州高速公路交通数据处理及预测分析》10. 毕业论文《综合主客观因素的城市非机动车评价与优化》,已毕业,82.27,六级450，无
,Y同学,2024/2/17 12:12,2024/2/17 12:12,伯明翰大学,金融数学理学硕士,湖南工业大学,金融工程,1. 华泰证券量化实习2. 高斯杯数学建模竞赛全国二等奖3. 东方财富杯风险分析师,大四,3.59,无
,P同学,2024/2/17 12:11,2024/2/17 12:11,俄亥俄州立大学,电气与计算工程理学硕士,,自动化,1. 某汽车电子公司研发部门实习2. 某智能科技有限公司研发实习3. NUS暑校4. 车载信息实时监控,大四,3,托福105
,Z同学,2024/2/17 12:14,2024/2/17 12:14,利兹大学,可持续发展与咨询理学硕士,滑铁卢大学,Bachelor’s of Environmental Studies (BES) Honours Environment and Business,1. 大众集团战略项目分析2. 关于加拿大安大略省高速路413项目的公众评论报告,大四,83,雅思6.5
,T同学,2024/2/17 12:13,2024/2/17 12:13,利兹大学,可持续发展与商业理学硕士,首都经济贸易大学,经济学(含实验班),1. 浦东发展银行 业务助理2. 发展农村教育相关课程论文3. 大创项目-家政app,已毕业,80.12,六级440+，没有
,L同学,2024/2/17 12:13,2024/2/17 12:13,利兹大学,可持续城市理学硕士,武汉理工大学,建筑环境与能源应用工程,1. 北京市建筑设计研究院实习工程师2. 相变材料在方腔内熔化特性的数值模拟3. 建筑节能设计,已毕业,82,无，无
,W同学,2024/2/17 12:13,2024/2/17 12:13,利兹大学,可持续城市理学硕士,天津城建大学,建筑,1. 华瑞国际项目管理有限公司 实习生2. 天津城建大学设计院实习生3. 天津地区特朗勃墙性能的实验研究4. 计算机网络工程用数据采集装置5. 基于深度学习的建筑方案生成 Deep Learning Based Architectural Scheme Generation,大四,85.08,无
,Z同学,2024/2/17 12:15,2024/2/17 12:15,利兹大学,可持续城市理学硕士,长安大学,城乡规划,1. 学院实习生2. 城市规划设计研究院实习生3. 规划建筑设计公司项目负责人4. 城市设计竞赛,三年以上工作经验,81.11,雅思6
,G同学,2024/2/17 12:15,2024/2/17 12:15,利兹大学,可持续城市理学硕士,山东农业大学,风景园林,1. 2022年中国风景园林学会大学生设计竞赛（CHSLA）2. 课程设计3. 课程设计,大四,86.04,无
,Z同学,2024/2/17 12:14,2024/2/17 12:14,利兹大学,地理信息系统理学硕士,华南农业大学,测绘工程,1. 课程实验：基于环境小卫星的湖泊水质遥感监测2. 全国大学生测绘学科创新创业智能大赛测绘技能竞赛3. 课程论文：激光雷达技术在多个领域应用现状及发展趋势4. 毕设5. 课程设计：基于C#的GIS 系统开发,已毕业,88.68,无
,G同学,2024/2/17 12:14,2024/2/17 12:14,利兹大学,地理信息系统理学硕士,西南交通大学,地理信息科学,1. 地质测绘实习2. 数字测图实习3. 毕设4. 摄影测量与遥感实习5. GIS应用系统课程设计,已毕业,80.9,雅思6
,W同学,2024/2/17 12:11,2024/2/17 12:11,利兹大学,文化、创意与创业文学硕士,华侨大学,汉语言,1. 挑战杯大学生创业大赛：基于XX文化探讨同胞对家族文化的归属感2. 影视公司，影视品牌部3. 互联网大学生创新创业大赛：XX镇视觉设计与实践,大四,4.48,雅思7（6）
,Y同学,2024/2/17 12:15,2024/2/17 12:15,利兹大学,环境与发展理学硕士,东华大学,环境工程,1. 上海市大学生创新创业项目2. 全国大学生市政环境类创新实践能力大赛,大四,80.5,无
,Z同学,2024/2/17 12:12,2024/2/17 12:12,利兹大学,电子与电气工程（工程）理学硕士,天津商业大学,自动化,1. 天津市大学生电子设计竞赛2. ”互联网+”大学生创新创业大赛3. 基于深度迁移学习与多特征网络融合的林间害虫识别方法的研究4. 全国大学生物联网设计大赛5. 科研项目：基于FPGA的高精度多通道信号源设计与实现6. 论文《Multisim仿真软件在《数字电子技术》中的应用》,大四,88.84,无，不考
,F同学,2024/2/17 12:14,2024/2/17 12:14,加州大学伯克利分校,发展实践,北京大学,阿拉伯语,1. 某“双一流”高校工作2. 驻某国使馆工作3. 某国家部委工作,三年以上工作经验,3.98,托福117，GRE338
,R同学,2024/2/17 12:12,2024/2/17 12:12,加州大学圣地亚哥分校,计算机科学硕士,清华大学,软件工程,1. 京东数据开发工程师2. 多存储查询优化项目,大四,3.55,雅思7，GRE326
,L同学,2024/2/17 12:11,2024/2/17 12:11,加州大学欧文分校,电气工程硕士,,电子科学与技术,1. 华为专用5G网络团队实习2. UCB交换3. 基于PMUT阵列的可穿戴连续血压监测系统4. 基于微流控装置的单酵母菌电阻抗谱检测,大四,3.73,托福110(L:29/R:30/W:28/S:23)，GRE320
,Z同学,2024/2/17 12:14,2024/2/17 12:14,华威大学,信息系统与数字创新管理理学硕士,上海大学,信息管理与信息系统,1. 美赛2. 某电子信息公司数据分析实习生3. 某互联网科技公司数据分析实习生4. 数据挖掘竞赛5. 金融创新应用大赛6. 隧道全生命周期运维养护项目,大四,83.7,无
,G同学,2024/2/17 12:13,2024/2/17 12:13,华威大学,商业与专业跨文化交流理学硕士,上海外国语大学,德语,1. 高校短视频平台的运营策略及其对校园官媒传播效果研究——以“上外德语系”视频号为例2. 比较文学课程论文3. 某教育平台新媒体运营4. 某教育机构助教,大四,88.23,雅思8(L:9/R:8.5/W:7.5/S:7)
,Z同学,2024/2/17 12:13,2024/2/17 12:13,华威大学,商业与专业跨文化交流理学硕士,北京语言大学,汉语国际教育,1. “青创北京”2022“挑战杯”北京大学生创业大赛2. 浅析简·奥斯汀《理智与情感》中的女性意识3. 网络时代的“标签”困境4. 芒果TV《侦探学院》综艺节目营销效果评价5. 雀巢中国市场部品牌管理实习生6. 罗德集团公关实习生,大四,3.74,暂无
,L同学,2024/2/17 12:13,2024/2/17 12:13,华威大学,市场营销与战略理学硕士,北京外国语大学,会计,1. 某会计师事务所审计实习生2. 某咨询公司品牌战略实习3. 2023万事达卡中国咨询案例大赛Mastercard China Advisors Case Competition 2023,大四,3.27,雅思6.5，未考
,L同学,2024/2/17 12:15,2024/2/17 12:15,华威大学,市场营销与战略理学硕士,北京师范大学-香港浸会大学联合国际学院,财务管理,1. ICIBE二作论文发表2. 普华永道中国You Plus 特训计划：《任天堂如何在主机行业破圈》3. 第八届中国大学生公共关系策划创业大赛：《古采玫蜜，今养笑颜》4. NUS FASStrack Asia Summer School5. gobrand 品牌策略实习生,大四,3.5,无
,Y同学,2024/2/17 12:12,2024/2/17 12:12,华威大学,方案与项目管理理学硕士,郑州大学,工程管理专业,1. Project Management Simulation?2. Residential Building Modeling and Bidding Based on GTJ Software3. Construction Organization Design of A Student Dormitory Building?,大四,3.3,六级459，无需考
,Z同学,2024/2/17 12:11,2024/2/17 12:11,华威大学,电力工程理学硕士,天津商业大学,自动化,1. 天津市大学生电子设计竞赛2. ”互联网+”大学生创新创业大赛3. 基于深度迁移学习与多特征网络融合的林间害虫识别方法的研究4. 全国大学生物联网设计大赛5. 科研项目：基于FPGA的高精度多通道信号源设计与实现6. 论文《Multisim仿真软件在《数字电子技术》中的应用》,大四,88.84,无，不考
,L同学,2024/2/17 12:12,2024/2/17 12:12,华威大学,电气与电子工程理学硕士,南京农业大学,电子信息科学与技术,1. 嵌入式物联网智能插座控制系统2. 基于51单片机的智能环境监测系统3. 电子科技有限公司—技术研发部—助理电子工程师,已毕业,81.06,雅思6.5
,W同学,2024/2/17 12:12,2024/2/17 12:12,南加州大学,电气工程理学硕士,西交利物浦大学,电气工程及其自动化（2+2）,1. 人工智能芯片设计研究2. 利用matlab仿真一个平衡车的控制系统3. 雷达扫描系统,大四,73.44,雅思7
,S同学,2024/2/17 12:13,2024/2/17 12:13,南加州大学,空间经济学与数据分析硕士,北京工业大学,金融学,1. 安永审计实习2. 光大银行公司金融部实习3. 国融证券固定收益交易部门实习,大四,92,托福98
,W同学,2024/2/17 12:13,2024/2/17 12:13,南加州大学,金融工程硕士,University of Waterloo,金融风险管理,1. 中信建投量化分析实习2. 字节国际化产品运营实习3. 某Research公司实习项目经理,大四,88.14,免语言
,H同学,2024/2/17 12:13,2024/2/17 12:13,南安普顿大学,光学工程理学硕士,南京工业大学,应用物理学,1. 课程设计：多功能抢答器设计2. 南京工业大学大学生创新创业与实践：利用浸渍法制备溴甲铅-硅橡胶的荧光复合材料3. 毕业论文：利用静电纺丝制备不同形貌的PVDF薄膜,已毕业,81,六级500，不考
,T同学,2024/2/17 12:14,2024/2/17 12:14,南安普顿大学,公共管理硕士,天津外国语大学,财务管理（商务英语）,1. 天津市中鼎会计师事务所内控咨询助理2. 大华会计师事务所（特殊普通合伙）审计实习生3. 新加坡国立大学交换4. 中国国际“互联网+”大学生创新创业大赛5. 长江三角洲区域经济社会协调发展的新机制研究6. 轻资产运营模式下贵人鸟财务风险与控制研究7. 论文《我国区域经济发展存在的问题及对策》,大四,3.58,暂无，不需要
,L同学,2024/2/17 12:15,2024/2/17 12:15,南安普顿大学,可持续发展理学硕士,河海大学,环境科学,1. 中国科学院南京植物所实习生2. 牛津大学交换3. 测量学实习4. 某污水处理厂参观实习5. 课程设计：某污水处理厂扩建工程环境影响评价6. 环境监测实验7. 水处理实验：强酸性阳离子交换树脂交换容量的测定,大四,80.83,雅思5.5，无
,C同学,2024/2/17 12:13,2024/2/17 12:13,南安普顿大学,时尚管理文学硕士,哈尔滨师范大学,市场营销,1. 美团经营规划部实习2. 某科技公司销售3. 市场营销大赛,大四,78.76,无
,Z同学,2024/2/17 12:13,2024/2/17 12:13,南安普顿大学,时尚管理文学硕士,北京师范大学-香港浸会大学联合国际学院,市场营销,1. lululemon进军拉美市场的提案2. 某冰箱品牌的创业提案3. 某公司互联网与社会责任营销4. 某公司电子商务部实习生,大四,2.79,暂无，不考
,H同学,2024/2/17 12:13,2024/2/17 12:13,南安普顿大学,英语语言教学/对外英语教学文学硕士,广东第二师范学院,翻译,1. 小学英语教师2. 上海译国译民翻译服务有限公司笔译员3. 小学英语教师,大四,88,雅思6.5
,H同学,2024/2/17 12:13,2024/2/17 12:13,南安普顿大学,英语语言教学/对外英语教学文学硕士,兰州财经大学,商务英语,1. 某教育机构助教2. 某教育机构兼职教师3. 李校来啦LIXIAO COMING陪练4. 《国际商务谈判》课程设计5. 大学生创新创业大赛,大四,85.04,待考，不考
,L同学,2024/2/17 12:14,2024/2/17 12:14,南安普顿大学,英语语言教学/对外英语教学文学硕士,上海工程技术大学,翻译,1. 某教育科技（上海）有限公司全职英语助教2. 上海策马翻译有限公司英语翻译实习生,已毕业,83.5,雅思7.5
,L同学,2024/2/17 12:12,2024/2/17 12:12,南安普顿大学,运输规划与工程（行为）理学硕士,南京航空航天大学,交通运输（航空运行与管理）,1. 北京大兴国际机场实习生2. 机场规划设计比赛3. 运筹学课程设计4. 航空公司运行管理课程设计5. 高速飞行器空气动力优化设计6. 毕设,已毕业,78,无
,C同学,2024/2/17 12:15,2024/2/17 12:15,南洋理工大学,信息研究理学硕士,北京邮电大学,信息安全,1. 基于SylixOS国产操作系统的人脸识别系统2. 攻击行为全方位检测与捕获系统3. 基于Python语言的实时通讯系统,大四,85,托福101，GRE318
,Z同学,2024/2/17 12:16,2024/2/17 12:16,南洋理工大学,信息研究理学硕士,澳门本科,商业分析,1. 两端数据相关实习2. 一段战略方面竞赛3. 四段课设,大四,3.23,雅思6.5
,C同学,2024/2/17 12:16,2024/2/17 12:16,南洋理工大学,信息系统理学硕士,,软件工程,1. 基于Python的社交网络媒体分析2. 基于EVENODD编码的存储系统3. 2022年全国大学生系统能力大赛操作系统设计赛,大四,82.87,雅思7.0
,L同学,2024/2/17 12:16,2024/2/17 12:16,南洋理工大学,区块链理学硕士,,软件工程,1. 大学生创新创业训练计划项目：基于野外探索的智能机器人系统2. 2023美国大学生数学建模大赛Y题帆船价格模型预测3. 百度移动端训练营android开发,大四,4,雅思6.5
,Z同学,2024/2/17 12:11,2024/2/17 12:11,南洋理工大学,智能制造理学硕士,哈尔滨工业大学（威海）,车辆工程,1. 课程设计“混合动力汽车动力耦合系统设计及仿真”2. 中国汽车技术研究中心大学生标准竞赛3. 哈尔滨工业大学（威海）大一学生年度立项“新能源汽车xx原因调查”4. 毕业设计《某6x4消防车底盘离合器优化设计》5. 湖北xx商用车汽车制造厂实习底盘测试开发,大四,86.74,雅思7.0
,Z同学,2024/2/17 12:11,2024/2/17 12:11,南洋理工大学,智能制造理学硕士,西北工业大学,飞行器动力工程,1. 亿嘉和机器人研发基地机械设计实习生2. 思克莱德大学交换3. 法国国立应用科学院交换4. 视障人士导盲系统5. 基于正弦驱动的微型机器人6. 业余滑翔机复合板的改造7. 新能源汽车的电池冷却系统设计8. 专利《一种锐器盒》9. 专利《一种采油报警电路》,已毕业,75.32,雅思6.5
,Z同学,2024/2/17 12:16,2024/2/17 12:16,南洋理工大学,智能制造理学硕士,,机械工程,1. 科技公司设计助理2. 科技公司研发助理3. 循迹智能车设计4. 信号采集与故障检测5. 小车行走系统6. 加工工艺及夹具设计,大四,81.74,雅思7.5
,Z同学,2024/2/17 12:11,2024/2/17 12:11,南洋理工大学,知识管理理学硕士,南京农业大学,投资学,1. 大学生SRT项目：农地抵押贷款机制下中小规模农业经营主体信贷配给研究2. 指南者背景提升项目3. 东吴证券财富管理委员会实习生,大四,90.5,雅思7，GRE323
,Q同学,2024/2/17 12:15,2024/2/17 12:15,南洋理工大学,科技创业与创新理学硕士（英文授课）,,财政学,1. 收入和教育对我国城市居民肉类消费、蔬果类消费和谷薯类消费影响分析——以平衡膳食模式为标准2. 联想（上海）信息技术有限公司客户运营实习生3. 芙蓉花语电商服务平台（大学生创业项目）,已毕业,3.16,雅思6.5
,C同学,2024/2/17 12:15,2024/2/17 12:15,南洋理工大学,科技创业与创新理学硕士（英文授课）,对外经济贸易大学,经济学荣誉学士实验班,1. 某资本公司-董事经理2. 某资本公司-分析员,三年以上工作经验,84.55,托福99
,W同学,2024/2/17 12:16,2024/2/17 12:16,南洋理工大学,科技创业与创新理学硕士（英文授课）,武汉理工大学,工商管理,1. 斗鱼直播实习生2. 腾讯科技行业研究实习生3. 深信服科技股份有限公司客户经理4. 毕设《基于大数据的校地合作影响因素及成效研究》5. 2020年暑期“三下乡”社会实践项目6. 第十三届全国大学生广告艺术大赛7. 武汉理工大学2021年度自主创新研究基金项目：《基于ZigBee通讯协议的矿用智能安全靴及其商业化应用的研究》8. 论文《矿用人员定位系统发展现状研究》9. 论文《浅析后疫情时期我国企业复工复产现状》,已毕业,88.19,雅思6.5，不打算考
,W同学,2024/2/17 12:13,2024/2/17 12:13,卡内基梅隆大学,人工智能工程硕士-材料科学与工程,山东大学（威海）,化学，辅修计算机,1. 国际多边贸易合作组织研究助理2. 美赛H奖3. 数学建模竞赛国家三等奖,大四,86.96,托福98
,X同学,2024/2/17 12:13,2024/2/17 12:13,卡内基梅隆大学,材料科学与工程理学硕士,上海应用技术大学,材料,1. 某航天研究所实习2. 抗冲击聚氨酯/陶瓷复合材料的制备及性能研究,大四,88.66,雅思7
,C同学,2024/2/17 12:13,2024/2/17 12:13,卡迪夫大学,高级计算机科学理学硕士,牡丹江师范学院,计算机科学与技术,1. xx信息科技网络公司培训员2. xx软件学院前端开发3. xxx网络科技有限公司网络运营4. 基于 xx盲盒交友系统设计与开发,大四,81.91,无
,P同学,2024/2/17 12:12,2024/2/17 12:12,哥伦比亚大学,环境健康数据科学理学硕士,罗格斯大学,计算机,1. 支付宝助理数据分析实习2. 某风投管理公司数据分析实习3. JavaFX照片管理工具,大四,3.56,免语言，GRE337
,L同学,2024/2/17 12:13,2024/2/17 12:13,哥伦比亚大学,电气工程硕士,,电子科学与技术,1. 华为专用5G网络团队实习2. UCB交换3. 基于PMUT阵列的可穿戴连续血压监测系统4. 基于微流控装置的单酵母菌电阻抗谱检测,大四,3.73,托福110(L:29/R:30/W:28/S:23)，GRE320
,L同学,2024/2/17 12:14,2024/2/17 12:14,圣路易斯华盛顿大学,信息系统管理硕士,北京工业大学,建筑学,1. NSTC北京事业部后端开发实习生2. 北京建筑设计研究院建筑设计实习生3. 基于VR技术的北京中轴线文化景观修复,大四,3.5,雅思7，GRE328
,W同学,2024/2/17 12:14,2024/2/17 12:14,圣路易斯华盛顿大学,信息系统管理硕士,南京审计大学,管理与信息系统,1. XX大数据科技公司 数据工程实习生2. 美赛 M奖3. 计算机软件著作权,大四,84,托福106
,X同学,2024/2/17 12:16,2024/2/17 12:16,圣路易斯华盛顿大学,工程管理硕士,东华大学,功能材料(新能源与光电材料方向),1. 多孔结构薄膜作为电池薄膜的应用2. 基于3DMAX 对基本模型建模3. 功能材料专业实验,大四,80.7,雅思6.5
,H同学,2024/2/17 12:14,2024/2/17 12:14,圣路易斯华盛顿大学,法学硕士,中南大学,法学,1. 河北xx律所实习2. XX区人民法院实习3. XX县人民法院实习4. XX律所工作,大四,83.2,托福93
,X同学,2024/2/17 12:11,2024/2/17 12:11,埃克塞特大学,金融与投资理学硕士,湖南工商大学,金融学（CFA）,1. 某股份有限公司财务部审计实习生2. 某银行信用管理部实习生3. 第七届金融投资分析大赛二等奖,大四,79.81,无
,C同学,2024/2/17 12:12,2024/2/17 12:12,埃克塞特大学,高级计算机科学理学硕士,牡丹江师范学院,计算机科学与技术,1. xx信息科技网络公司培训员2. xx软件学院前端开发3. xxx网络科技有限公司网络运营4. 基于 xx盲盒交友系统设计与开发,大四,81.91,无
,F同学,2024/2/17 12:16,2024/2/17 12:16,墨尔本大学,生物医学工程硕士,浙江大学,生物医学,1. xx抗癌药物的研究进展2. 个人项目：探究纳米抗癌药物的研究进展3. xx生物学调查,大四,77.3,雅思6.0
,L同学,2024/2/17 12:13,2024/2/17 12:13,墨尔本大学,管理学硕士（会计与金融）,华北电力大学,会计学,1. 毕业论文：节能减排政策对高耗能企业绩效的影响研究2. 财务公司财务资金部实习生3. 证券公司营业部实习生4. 大创：国际电力期货市场及其价格波动性特征分析5. “尖烽时刻” 全国商业模拟大赛,已毕业,88.12,雅思6.5
,F同学,2024/2/17 12:14,2024/2/17 12:14,墨尔本大学,营销传播学硕士,中国农业大学,传播学（中美合作项目）,1. 二元性别主导环境下酷儿个体的生存与应对2. 华晨宝马汽车有限公司北京分公司 市场部实习生3. 腾讯视频（平台与内容部）4. 基于文化培养理论的时尚品牌市场营销研究5. 健康传播领域的沟通干预计划,大四,3.62,雅思7
,X同学,2024/2/17 12:11,2024/2/17 12:11,布里斯托大学,会计与金融理学硕士,,会计,1. 某服装有限公司财务总监助理2. 课程设计：基于IS-LM模型下我国精准扶贫政策效应分析3. 课程设计：业绩预告偏差与公司盈余管理,大四,3.5,雅思7.0，无
