school_id,cn_name,en_name,tags,introduction,apply_requirements,objectives,language_requirements,curriculum,success_cases,country
纽约大学,对外英语教育学硕士,MA Teaching English to Speakers of Other Languages,"社科,教育",专业方向: 教育 入学时间: 秋季 项目时长: 31-42学分 项目学费: 2020美元/学分,Initial Certificate: 文科专业30 个学时 3个学期的数学（包括统计） 3个学期的自然科学或物理科学 3个学期的社会研究 12 学时的非英语语言 Dual Certification: 目标语言专业或30个学期的目标语言课程 文科专业 30 个学时 3个学期的数学（包括统计） 3个学期的自然科学或物理科学 3个学期的社会研究,,{{ per_lang.name }},,,us,纽约大学_对外英语教育学硕士.json
佛罗里达大学,化学工程工学硕士,MEng in Chemical Engineering,"工科,化工",专业方向: 化工 入学时间: 秋季 项目时长: 30学分 项目学费: 30138美元/年,专为已经拥有生物学、化学、物理学、数学或其他工程分支的理学学士学位的学生而设计。,,{{ per_lang.name }},,,us,佛罗里达大学_化学工程工学硕士.json
约翰霍普金斯大学,健康政策与管理硕士,"MSPH in Health Policy, Health Policy and Management","社科,公共政策与事务","专业方向: 公共政策与事务 入学时间: 秋季 项目时长: 2年 项目学费: 63,408美元",无,,{{ per_lang.name }},,,us,约翰霍普金斯大学_健康政策与管理硕士.json
波士顿大学,统计学硕士,MA in Statistics,"理科,数学",专业方向: 数学 项目类别: STEM 入学时间: 秋季 项目时长: 1年 项目学费: 56854美元/年 项目规模: 70人,微积分、线性代数、概率论、统计学,,{{ per_lang.name }},,,us,波士顿大学_统计学硕士.json
范德堡大学,风险、可靠性和恢复工程硕士,"MEng in Risk, Reliability, and Resilience Engineering","工科,其他工科","专业方向: 其他工科 项目类别: STEM 入学时间: 秋季/春季 项目时长: 1年 项目学费: 66,450美元",入学学生通常需要拥有工程、数学或物理科学的学士学位。,,{{ per_lang.name }},,,us,范德堡大学_风险、可靠性和恢复工程硕士.json
德州大学达拉斯分校,电气工程理学硕士,Master of Science in Electrical Engineering,"工科,电气电子","专业方向: 电气电子 项目类别: STEM 入学时间: 春季,夏季,秋季 项目时长: 30学分 项目学费: 17,412美元/年",,,{{ per_lang.name }},,,us,德州大学达拉斯分校_电气工程理学硕士.json
西北大学（美国）,定量系统生物学理学硕士,MS in Quantitiative and Systems Biology,"理科,生物","专业方向: 生物 项目类别: STEM 入学时间: 秋季 项目时长: 1年 项目学费: 82,884美元",申请人应主修生物科学（例如生物学、生物化学、神经生物学、分子生物学）。 虽然可以使用一到两门选修课来解决特定的缺陷，但 QSB 项目并不是设计用来初步接触生物学的。 需要化学和数学的标准医学预科要求。招生委员会将以前的实验室研究经验视为申请的关键要素。 我们要求学生在他们的目的陈述中包括他们的研究经历的描述。,,{{ per_lang.name }},,,us,西北大学（美国）_定量系统生物学理学硕士.json
哥伦比亚大学,生统之公共健康数据科学理学硕士,MS in Public Health Data Science,"理科,数学","专业方向: 数学 项目类别: STEM 入学时间: 秋季 项目时长: 两年 项目学费: 65,870美元",申请者应该有一定的大学数学背景，包括至少一年的微积分。 强烈鼓励学习一个学期的线性/矩阵代数。 在 GRE 定量部分取得高分的学生将获得优先考虑。 与所有生物统计学课程一样，MS/PHDS 最重要的组成部分是定量推理的能力和真正享受处理数据的乐趣。,,{{ per_lang.name }},,,us,哥伦比亚大学_生统之公共健康数据科学理学硕士.json
莱斯大学,电气与计算机工程硕士,Master of Electrical & Computer Engineering,"工科,电气电子",专业方向: 电气电子 入学时间: 春季/秋季 项目时长: 3-4个学期 项目学费: 51500美元/年 平均G: V156，Q166,GPA至少3.0/4.0,,{{ per_lang.name }},,,us,莱斯大学_电气与计算机工程硕士.json
哥伦比亚大学,学校心理学教育硕士,MEd in School Psychology,"社科,教育","专业方向: 教育 入学时间: 秋季 项目时长: 两年 项目学费: 131,997美元",无,,{{ per_lang.name }},,,us,哥伦比亚大学_学校心理学教育硕士.json
乔治华盛顿大学,数学硕士,MA in Mathematics,"理科,数学","专业方向: 数学 项目类别: STEM 入学时间: 秋季 项目时长: 2年 项目学费: 35,100美元/年",申请人应持有数学或相关专业的B.S.学位。,,{{ per_lang.name }},,,us,乔治华盛顿大学_数学硕士.json
普渡大学西拉法叶分校,会计硕士,MS in Accounting,"商科,会计","专业方向: 会计 入学时间: 秋季/春季 项目时长: 10个月 项目学费: 1,265美元/学分",用过会计学位或者学过下列课程：财务会计入门、管理会计入门、中级会计III、审计学,,{{ per_lang.name }},,,us,普渡大学西拉法叶分校_会计硕士.json
威廉玛丽学院,环境化学理学硕士,MS in Chemistry concentrating in Environmental Chemistry,"工科,环境工程","专业方向: 环境工程 项目类别: STEM 入学时间: 秋季/春季 项目时长: 2年 项目学费: 70,272美元",化学相关专业，GPA3.0以上,,{{ per_lang.name }},,,us,威廉玛丽学院_环境化学理学硕士.json
加州大学欧文分校,统计学理学硕士,MS in Statistics,"理科,数学","专业方向: 数学 项目类别: STEM 入学时间: 秋季 项目时长: 一年 项目学费: 32,666美元",申请人应具备计算机编程能力，数学能力（线代、概率论统计等），数据相关准备，了解计算机体系结构。GPA3.0以上。,,{{ per_lang.name }},,,us,加州大学欧文分校_统计学理学硕士.json
南加州大学,计算机科学硕士,MS in Computer Science-Scientists and Engineers,"工科,计算机",专业方向: 计算机 入学时间: 春季/秋季 项目时长: 37学分 项目学费: 2148美元/学分,,,{{ per_lang.name }},,,us,南加州大学_计算机科学硕士.json
威斯康星大学麦迪逊分校,法学硕士,Master of Laws,"社科,法律","专业方向: 法律 入学时间: 秋季/春季 项目时长: 24学分 项目学费: 51,780美元",适合从美国以外的大学获得法律学位（例如法学学士学位）的学生。,,{{ per_lang.name }},,,us,威斯康星大学麦迪逊分校_法学硕士.json
东北大学（美国）,商业分析硕士,MS in Business Analytics,"商科,商业分析",专业方向: 商业分析 项目类别: STEM 入学时间: 秋季 项目时长: 12或16个月 项目学费: 1640美元/学分,统计,,{{ per_lang.name }},,,us,东北大学（美国）_商业分析硕士.json
卡内基梅隆大学,应用语言学与第二语言习得硕士,Masters in Applied Linguistics & Second Language Acquisition,"社科,教育",专业方向: 教育 入学时间: 秋季 项目时长: 1年 项目学费: 46690美元/年 项目规模: 5-10个人人,,,{{ per_lang.name }},,,us,卡内基梅隆大学_应用语言学与第二语言习得硕士.json
弗吉尼亚大学,商业硕士-金融方向,MS in Commerce-Finance Track,"商科,金融",专业方向: 金融 项目类别: STEM 入学时间: 秋季 项目时长: 10个月 项目学费: 46780美元 项目规模: 34人 平均成绩: 3.5 国际学生: 26% 男女比例: 63:37 就业比例: 96% 平均起薪: 69795美元,财务会计、微观经济学和统计学,,{{ per_lang.name }},,,us,弗吉尼亚大学_商业硕士-金融方向.json
南加州大学,社会工作硕士,Master of Social Work,"社科,社会学与社工","专业方向: 社会学与社工 入学时间: 秋季 项目时长: 42学分 项目学费: 115,120美元","申请者必须持有地区认可机构的学士学位且GPA达到3.0及以上。申请者修了至少18units 文科课程：人文学科（人类学,传播学,文化研究）；社会科学（社会学,心理学,政治学）；生物科学（生物学,动物学,生态学）；自然科学课程（天文学,物理学,化学）；此外申请者最好有以1-2年的社工或志愿者工作经验",,{{ per_lang.name }},,,us,南加州大学_社会工作硕士.json
乔治华盛顿大学,管理学硕士,MS in Management,"商科,管理","专业方向: 管理 项目类别: STEM 入学时间: 秋季/春季 项目时长: 33学分 项目学费: 1,965美元/学分",GPA达到3.0及以上表现出对跨学科商业研究的专业兴趣,,{{ per_lang.name }},,,us,乔治华盛顿大学_管理学硕士.json
范德堡大学,金融硕士,MS in Finance,"商科,金融",专业方向: 金融 项目类别: STEM 入学时间: 秋季 项目时长: 10个月 项目学费: 60750美元 项目规模: 83人 平均成绩: 3.65 平均G: 688 国际学生: 12% 男女比例: 82:18 就业比例: 98% 平均起薪: 80000美元,"建议修过微积分,统计学,经济学导论课程",,{{ per_lang.name }},,,us,范德堡大学_金融硕士.json
卡内基梅隆大学,机器人理学硕士,MS in Robotics,"工科,计算机","专业方向: 计算机 项目类别: STEM 入学时间: 秋季 项目时长: 两年 项目学费: 52,320美元","申请者必须持有地区认可机构的学士学位且GPA达到3.0及以上。先修课要求：数学,计算机科学,物理与工程。 推荐信提交截止日期：2023-12-13",,{{ per_lang.name }},,,us,卡内基梅隆大学_机器人理学硕士.json
圣母大学,会计硕士,MS in Accountancy,"商科,会计",专业方向: 会计 项目类别: STEM 入学时间: 春季/秋季 项目时长: 10个月 项目学费: 44900美元 项目规模: 91人 平均成绩: 3.56 平均G: 635 国际学生: 19% 男女比例: 55:45 就业比例: 100% 平均起薪: 60000美元 留美比例: 97%,需要完成财务会计、管理会计、中级会计、成本会计、审计与鉴证、税收的先修课程,,{{ per_lang.name }},,,us,圣母大学_会计硕士.json
普林斯顿大学,金融硕士,Master in Finance,"商科,金融",专业方向: 金融 项目类别: STEM 入学时间: 秋季 项目时长: 2年 项目学费: 58790美元/年 项目规模: 25人 就业比例: 100%,"希望申请者在中级本科课程水平上熟悉数学,包括线性代数、多元微积分、微分方程以及概率和统计",,{{ per_lang.name }},,,us,普林斯顿大学_金融硕士.json
芝加哥大学,计算分析与公共政策理学硕士,MS in Computational Analysis and Public Policy,"社科,公共政策与事务",专业方向: 公共政策与事务 项目类别: STEM 入学时间: 秋季 项目时长: 2年 项目学费: 23406美元/学期,,,{{ per_lang.name }},,,us,芝加哥大学_计算分析与公共政策理学硕士.json
南加州大学,生物统计硕士,MS in Biostatistics,"理科,数学",专业方向: 数学 入学时间: 春季/夏季/秋季 项目时长: 2年 项目学费: 23940美元/学期（4-7学分）,"本科GPA至少3.0以上. prefer数学、统计、计算机科学或相关领域的本科学位。先修课要求differential and integral calculus,数理统计和基本的计算机编程。",,{{ per_lang.name }},,,us,南加州大学_生物统计硕士.json
北卡罗来纳州立大学罗利分校,材料科学与工程硕士,MS in Materials Science and Engineering,"工科,材料",专业方向: 材料 入学时间: 春季/秋季 项目时长: 30学分 项目学费: 1649美元/学分,,,{{ per_lang.name }},,,us,北卡罗来纳州立大学罗利分校_材料科学与工程硕士.json
南加州大学,数学金融硕士,MS degree in Mathematical Finance,"商科,金工金数",专业方向: 金工金数 项目类别: STEM 入学时间: 春季/秋季 项目时长: 30学分 项目学费: 2148美元/学分,先修课：一学期的实分析或高级微积分、一学期的线性代数和一学期的高级概率/统计。 建议：微观经济学、宏观经济学和偏微分方程和编程经验（MATLAB 和 C/C）,,{{ per_lang.name }},,,us,南加州大学_数学金融硕士.json
美利坚大学,数据科学硕士,MS in Data Science,"理科,数据科学","专业方向: 数据科学 项目类别: STEM 入学时间: 春季/秋季/夏季 项目时长: 30学分 项目学费: 1,866美元/学分 平均起薪: 12,000美元",GPA3.0,,{{ per_lang.name }},,,us,美利坚大学_数据科学硕士.json
佐治亚理工学院,材料科学与工程理学硕士,Master of Science in Materials Science and Engineering,"工科,材料",专业方向: 材料 入学时间: 秋季/春季 项目时长: 30学分 项目学费: 1215美元/学分 平均成绩: 3.6,要求4年本科。GPA3.0以上。材料科学与工程、高分子科学与工程、陶瓷工程、冶金工程、化学工程、机械工程、纺织工程、化学、生物医学工程、生物学、物理学或相关领域的学士或/和硕士背景,,{{ per_lang.name }},,,us,佐治亚理工学院_材料科学与工程理学硕士.json
哈佛大学,环境卫生硕士,MS in Environmental Health,"工科,环境工程",专业方向: 环境工程 入学时间: 秋季 项目时长: 2年 项目学费: 50496 美元/年 平均G: 60%,"通过 SOPHAS系统申请,申请材料在截止日期之前提交完成",,{{ per_lang.name }},,,us,哈佛大学_环境卫生硕士.json
乔治城大学,金融经济理学硕士,Master of Science in Financial Economics,"商科,经济","专业方向: 经济 项目类别: STEM 入学时间: 秋季 项目时长: 45学分 项目学费: 2,550美元/学分",至少两门微积分课程、一门中级微观经济学课程和一门中级宏观经济学课程,,{{ per_lang.name }},,,us,乔治城大学_金融经济理学硕士.json
斯蒂文斯理工学院,信息系统硕士,MS in Information Systems,"商科,信息系统","专业方向: 信息系统 项目类别: STEM 入学时间: 秋季/春季/夏季 项目时长: 36学分 项目学费: 43,528美元/年",本科为相关专业背景，GPA达到3.0以上,,{{ per_lang.name }},,,us,斯蒂文斯理工学院_信息系统硕士.json
卡内基梅隆大学,信息技术战略硕士,Master of Information Technology Strategy,"商科,信息系统","专业方向: 信息系统 项目类别: STEM 入学时间: 秋季 项目时长: 18个月 项目学费: 90,000美元","申请者必须持有地区认可机构的学士学位且GPA达到3.0及以上。申请者需具备编程,数据分析能力。 先修课要求： 算法和数据结构； 编程能力（Python, C, C, or Java至少其一）； 分析能力（统计 概率论 研究方法 经济等）",,{{ per_lang.name }},,,us,卡内基梅隆大学_信息技术战略硕士.json
康奈尔大学,机械工程理学硕士,MS in Mechanical Engineering,"工科,机械工程",专业方向: 机械工程 入学时间: 秋季 项目时长: 4学期 项目学费: 29500美元,,,{{ per_lang.name }},,,us,康奈尔大学_机械工程理学硕士.json
伍斯特理工学院,工业数学专业理学硕士,Professional MS in Industrial Mathematics,"理科,数学","专业方向: 数学 入学时间: 春季/秋季 项目时长: 30学分 项目学费: 1,610美元/学分",,,{{ per_lang.name }},,,us,伍斯特理工学院_工业数学专业理学硕士.json
科罗拉多大学波德分校,机械工程理学硕士,MS in Mechanical Engineering,"工科,机械工程",专业方向: 机械工程 项目类别: STEM 入学时间: 春季/秋季 项目时长: 30学分 项目学费: 18090美元/学期,本科平均成绩至少为2.75（2.00=C），最好为3.2或以上，微积分、线性代数和微分方程的本科课程、两个学期的本科微积分物理、至少两个学期的工程或物理高年级本科课程,,{{ per_lang.name }},,,us,科罗拉多大学波德分校_机械工程理学硕士.json
匹兹堡大学,材料科学与工程理学硕士,MS in Materials Science Engineering,"工科,材料",专业方向: 材料 入学时间: 春季/夏季/秋季 项目时长: 30学分 项目学费: 46952美元/年,,,{{ per_lang.name }},,,us,匹兹堡大学_材料科学与工程理学硕士.json
塔夫茨大学,计算机科学理学硕士,MS in Computer Science,"工科,计算机","专业方向: 计算机 项目类别: STEM 入学时间: 秋季/春季 项目时长: 30学分，12-24个月 项目学费: 50,910美元",申请者需要有一下领域的能力：计算机体系结构和汇编语言，编程语言（特别是函数式编程和面向对象的继承编程），数据结构与算法分析，计算理论,,{{ per_lang.name }},,,us,塔夫茨大学_计算机科学理学硕士.json
塔夫茨大学,机械工程理学硕士,MS in Mechanical Engineering,"工科,机械工程","专业方向: 机械工程 项目类别: STEM 入学时间: 春季/秋季 项目时长: 30学分 项目学费: 54,196 美元","申请者需要持有相对应的学士学位,GPA达到3.0及以上申请者需提交2分钟的视频展示",,{{ per_lang.name }},,,us,塔夫茨大学_机械工程理学硕士.json
哥伦比亚大学,生统之药物统计理学硕士,MS in biostatiscs-Pharmaceutical Statistics,"社科,数学","专业方向: 数学 项目类别: STEM 入学时间: 秋季 项目时长: 两年 项目学费: 65,870美元",申请药物统计学硕士学位的人应具有很强的数学背景（至少两个学期的微积分）和在制药行业工作的经验或兴趣。,,{{ per_lang.name }},,,us,哥伦比亚大学_生统之药物统计理学硕士.json
威斯康星大学麦迪逊分校,工业工程理学硕士-人因与健康系统工程,MS in Industrial Engineering-Human Factors and Health Systems Engineering,"工科,工业工程","专业方向: 工业工程 项目类别: STEM 入学时间: 秋季/春季 项目时长: 12个月 项目学费: 36,000美元",拥有认可机构的工程学或相关学科的理学学士学位。GPA3.0及以上。Prefer修过数理统计课程。,,{{ per_lang.name }},,,us,威斯康星大学麦迪逊分校_工业工程理学硕士-人因与健康系统工程.json
哥伦比亚大学,早期孩童教育硕士,MA in Early Childhood Education,"社科,教育","专业方向: 教育 入学时间: 夏季/秋季 项目时长: 1.5-2年 项目学费: 74,607美元",无,,{{ per_lang.name }},,,us,哥伦比亚大学_早期孩童教育硕士.json
雪城大学,化学工程理学硕士,MS in Chemical Engineering,"工科,化工","专业方向: 化工 入学时间: 春季/秋季 项目时长: 30学分 项目学费: 1734美元/学分 平均成绩: 3.3 平均G: Q163, V148 平均起薪: 45000–104999美元 留美比例: 88%",具有化学工程专业背景。,,{{ per_lang.name }},,,us,雪城大学_化学工程理学硕士.json
宾夕法尼亚大学,法学硕士,Master of Laws,"社科,法律",专业方向: 法律 入学时间: 秋季 项目时长: 1年 项目学费: 63610美元 项目规模: 120人,不需要G,,{{ per_lang.name }},,,us,宾夕法尼亚大学_法学硕士.json
杜克大学,环境工程工学硕士,MEng in Environmental Engineering,"工科,环境工程",专业方向: 环境工程 入学时间: 秋季 项目时长: 30学分 项目学费: 30250美元/学期,,,{{ per_lang.name }},,,us,杜克大学_环境工程工学硕士.json
卡内基梅隆大学,工程和公共政策,Master's in EPP Engineering and Public Policy,"工科,工程管理","专业方向: 工程管理 项目类别: STEM 入学时间: 秋季 项目时长: 三个学期 项目学费: 26,050美元",申请者必须持有地区认可机构的学士学位且GPA达到3.0及以上。,,{{ per_lang.name }},,,us,卡内基梅隆大学_工程和公共政策.json
马里兰大学帕克分校,公共政策硕士,Master of Public Policy,"社科,公共政策与事务","专业方向: 公共政策与事务 入学时间: 秋季 项目时长: 2年 项目学费: 49,284美元/年",公共政策相关学位或者实践经验,,{{ per_lang.name }},,,us,马里兰大学帕克分校_公共政策硕士.json
伦斯勒理工学院,土木与环境工程工学硕士,MEng in Civil and Environmental Engineering,"工科,环境工程",专业方向: 环境工程 入学时间: 秋季 项目时长: 30学分 项目学费: 58600美元/年,,,{{ per_lang.name }},,,us,伦斯勒理工学院_土木与环境工程工学硕士.json
斯坦福大学,政策、组织和领导研究文学硕士,"MA in Policy, Organization, and Leadership Studies (POLS)","社科,教育","专业方向: 教育 入学时间: 秋季 项目时长: 9个月 项目学费: 58,746美元",注重工作经验,,{{ per_lang.name }},,,us,斯坦福大学_政策、组织和领导研究文学硕士.json
杜兰大学,细胞和分子生物学理学硕士,MS in in Cell and Molecular Biology,"理科,生物","专业方向: 生物 项目类别: STEM 入学时间: 秋季 项目时长: 1年 项目学费: 31,050美元",申请者应学习过化学和生物学或细胞生物学,,{{ per_lang.name }},,,us,杜兰大学_细胞和分子生物学理学硕士.json
乔治华盛顿大学,媒体和战略传播硕士,MA in Media and Strategic Communication,"社科,传播","专业方向: 传播 入学时间: 秋季/春季 项目时长: 2年 项目学费: 2,075美元/学分",传媒相关学位和本科背景,,{{ per_lang.name }},,,us,乔治华盛顿大学_媒体和战略传播硕士.json
乔治城大学,房地产硕士,Master's Degree in Real Estate,"商科,房地产","专业方向: 房地产 入学时间: 春季/夏季/秋季 项目时长: 33学分 项目学费: 50,391美元",申请者必须持有地区认可机构的学士学位,,{{ per_lang.name }},,,us,乔治城大学_房地产硕士.json
东北大学（美国）,环境工程硕士,MS in Environmental Engineering,"工科,环境工程","专业方向: 环境工程 项目类别: STEM 入学时间: 秋季/春季 项目时长: 32学分时 项目学费: 55,680美元",相关专业，GPA3.0以上,,{{ per_lang.name }},,,us,东北大学（美国）_环境工程硕士.json
布兰迪斯大学,数学硕士（文学）,MA in Mathematics,"理科,数学","专业方向: 数学 项目类别: STEM 入学时间: 秋季 项目时长: 1年 项目学费: 55,104美元",GPA3.0以上,,{{ per_lang.name }},,,us,布兰迪斯大学_数学硕士（文学）.json
斯蒂文斯理工学院,金融科技和分析,MS in Financial Technology and Analytics,"商科,金融","专业方向: 金融 项目类别: STEM 入学时间: 秋季 项目时长: 未标明 项目学费: 43,528美元/年 就业比例: 100%（6个月内） 平均起薪: 9,2964美元",暂无,,{{ per_lang.name }},,,us,斯蒂文斯理工学院_金融科技和分析.json
乔治华盛顿大学,法学硕士(MSL),Master of Studies in Law,"社科,法律","专业方向: 法律 项目类别: STEM 入学时间: 春季/秋季 项目时长: 24学分 项目学费: 56,880美元/年",至少三到五年的专业经验（项目主任和院长评估）,,{{ per_lang.name }},,,us,乔治华盛顿大学_法学硕士(MSL).json
加州大学圣塔芭芭拉分校,应用数学文学硕士,Master of Arts in Applied Mathematics,"理科,数学","专业方向: 数学 项目类别: STEM 入学时间: 秋季 项目时长: 42学分 项目学费: 12,852美元",申请者需要提交GRE Mathematics Subject Test 成绩,,{{ per_lang.name }},,,us,加州大学圣塔芭芭拉分校_应用数学文学硕士.json
乔治城大学,国际发展政策硕士,Master in International Development Policy,"社科,国际关系","专业方向: 国际关系 项目类别: STEM 入学时间: 秋季 项目时长: 两年 项目学费: 75,456 美元","申请者必须持有地区认可机构的学士学位且具备微观经济学,微积分等课程背景。申请者至少拥有两年的工作经验。",,{{ per_lang.name }},,,us,乔治城大学_国际发展政策硕士.json
哥伦比亚大学,金融工程硕士,MS in Financial Engineering,"商科,金工金数",专业方向: 金工金数 项目类别: STEM 入学时间: 秋季 项目时长: 36学分 项目学费: 79056美元 项目规模: 120人 平均G: 169 就业比例: 98% 平均起薪: 120248美元,,,{{ per_lang.name }},,,us,哥伦比亚大学_金融工程硕士.json
南加州大学,应用生物统计学和流行病学硕士,MS in Applied Biostatistics and Epidemiology,"理科,数学",专业方向: 数学 项目类别: STEM 入学时间: 春季/夏季/秋季 项目时长: 2年 项目学费: 23940美元/学期（4-7学分）,"本科GPA至少3.0以上, 本科应修读过应用统计、大学代数、微积分入门课程和基本计算机编程。",,{{ per_lang.name }},,,us,南加州大学_应用生物统计学和流行病学硕士.json
德州农工大学,市场营销理学硕士,MS in Marketing,"商科,市场营销","专业方向: 市场营销 入学时间: 秋季 项目时长: 36学分 项目学费: 73,000美元 项目规模: 30人 就业比例: 96% 平均起薪: 61,807美元",GPR3.5，最后60h的学习GPA3.5,,{{ per_lang.name }},,,us,德州农工大学_市场营销理学硕士.json
俄亥俄州立大学,免疫学和微生物发病机制硕士,Immunology and Microbial Pathogenesis MS,"理科,生物",专业方向: 生物 项目类别: STEM 入学时间: 秋季 项目时长: 40学时 项目学费: 1733.13美元/学时,获得生物科学或相关学位，GPA至少3.0,,{{ per_lang.name }},,,us,俄亥俄州立大学_免疫学和微生物发病机制硕士.json
南加州大学,应用经济学和计量经济学硕士,MS in Applied Economics and Econometrics,"商科,经济",专业方向: 经济 项目类别: STEM 入学时间: 春季/秋季 项目时长: 1-2年 项目学费: 44188美元/学年,"至少一年微积分和一学期统计,强烈建议中级微观经济学和中级宏观经济学课程",,{{ per_lang.name }},,,us,南加州大学_应用经济学和计量经济学硕士.json
密歇根州立大学,供应链管理理学硕士,MS in Supply Chain Management,"商科,供应链管理","专业方向: 供应链管理 入学时间: 春季/秋季 项目时长: 21个月 项目学费: 57,600美元/年",需要本科为四年制并毕业于相关专业，GPA达到3.0以上至少有两年供应链领域工作经验,,{{ per_lang.name }},,,us,密歇根州立大学_供应链管理理学硕士.json
纽约大学,化学理学硕士,MS in Chemistry,"理科,化学","专业方向: 化学 项目类别: STEM 入学时间: 春季/秋季 项目时长: 32学分 项目学费: 66,368美元",申请者GPA 达到3.0以上,,{{ per_lang.name }},,,us,纽约大学_化学理学硕士.json
纽约大学,心理健康与福祉咨询硕士,MA in Counseling for Mental Health and Wellness,"社科,心理学","专业方向: 心理学 项目类别: STEM 入学时间: 秋季 项目时长: 60学分 项目学费: 2,185美元/学分",,,{{ per_lang.name }},,,us,纽约大学_心理健康与福祉咨询硕士.json
加州大学伯克利分校,交通运输工程工学硕士,MENG in Transportation Engineering,"工科,交通运输",专业方向: 交通运输 入学时间: 秋季 项目时长: 24学分 项目学费: 31195.25美元/学期,微积分、物理（包括机械和波）、工程相关概率与统计、线性代数等先修课,,{{ per_lang.name }},,,us,加州大学伯克利分校_交通运输工程工学硕士.json
圣路易斯华盛顿大学,社会工作硕士,Master of Social Work,"社科,社会学与社工","专业方向: 社会学与社工 入学时间: 秋季 项目时长: 两年 项目学费: 57,750美元/年",布朗学院从整体上考虑每位申请者。 我们的学生来自不同的学术背景。 虽然我们欢迎拥有社会工作本科学位的学生，但这不是 MSW 项目的要求。,,{{ per_lang.name }},,,us,圣路易斯华盛顿大学_社会工作硕士.json
马里兰大学帕克分校,电气与计算机工程理学硕士,MS in Electrical & Computer Engineering,"工科,电气电子",专业方向: 电气电子 入学时间: 秋季 项目时长: 30学分 项目学费: 2123.5美元/学分,"1. 学士学位：电气工程,计算机工程或数学、物理、计算机科学等相关领域 2. GPA：3.5（B）",,{{ per_lang.name }},,,us,马里兰大学帕克分校_电气与计算机工程理学硕士.json
