school_id,cn_name,en_name,tags,introduction,apply_requirements,objectives,language_requirements,curriculum,success_cases,country
南洋理工大学,教育学硕士（音乐）,Master of Education (Music),"社科,教育,教育学院",专业方向: 教育 入学时间: 1月 项目时长: 1年 项目学费: 41900新币/年,具有认可大学颁发的良好学士学位，或具有相关的南洋理工大学FlexiMasters且成绩优秀 具有教师资格如新加坡国立教育学院颁发的教育研究生文凭，或具备至少1年教育相关工作经验,教育学硕士课程主要面向在新加坡学校和教育部工作的教育工作者，学校也欢迎具有教育背景并希望提升教育知识和技能的大学毕业生申请。南洋理工大学教育学硕士（音乐）项目为学校音乐课程和教学法的发展以及音乐教育研究提供了理论和实践基础，也提供了对音乐教育和研究的当代问题的理解，以及音乐教育的基础，学生将发展对科技在音乐和音乐教育中的应用的理解和技能，从学校教学的实用音乐技能列表中选择，包括独奏和合奏表演、作曲、编曲、唱歌、合唱指挥、乐队指挥、竖笛演奏和键盘技巧，以提高其在课程中教授这些技能的专业知识。,{{ per_lang.name }},教育调查 (Educational Inquiry) 音乐教育中的问题 (Issues in Music Education) 音乐教育中的哲学 ( Philosophy in Music Education) 音乐教育中的流行文化与信息传播技术 (Popular Culture and ICT in Music Education) 音乐行为研究 ( Studies in Musical Behaviours),,singapore,南洋理工大学_教育学硕士（音乐）.json
新加坡管理大学,金融经济学理学硕士,MSc Financial Economics,"商科,经济,经济学院",专业方向: 经济 入学时间: 1/8月 项目时长: 1年 项目学费: 54500新币/年,"- 具有良好的学士学位 - 具有良好的GMAT（600）/GRE（Verbal和Quantitative均分156）/SMU入学考试（Verbal/Numerical/Integrated Reasoning均分55）成绩 8月入学学费45,780新币，1月入学学费54,500新币",新加坡管理大学金融经济学理学硕士课程解决了将经济学和计量经济学与金融联系起来的严格课程的需求。该计划旨在将新加坡管理大学的两大核心优势——计量经济学和金融——结合在一起，以满足行业对专业人员的巨大需求，这些专业人员具备在动态政策和监管的新时代深入分析日益复杂的金融问题的技能。该计划将传授经济学和计量经济学的基础知识以及金融市场运作的领域知识。该计划将教授学生如何将经济学和计量经济学中最先进的工具应用于金融。其主要优势在于该计划固有的多学科性质，涉及经济学、计量经济学和金融专业的教师，从而为学生创造了独特的“转型”学习体验。该计划利用新加坡管理大学关键地理位置，将提供极好的机会。为应用和研究方向的学生举办学术和行业研讨会的可能性将为技术熟练但以市场为导向的专业人士提供一个理想的跳板。,{{ per_lang.name }},微观经济学 (Microeconomics) 宏观经济学 (Macroeconomics) 计量经济学 (Econometrics) 金融计量学 (Financial Econometrics) 金融统计及计算 (Computational Statistics in Finance) 公司财务 (Corporate Finance) 实证金融学 (Empirical Finance) 财务报表分析 (Financial Statement Analysis) 资产定价的宏观经济基础 (Macro-Foundations of Asset Pricing) 金融证券法规 (Financial Securities Regulations) 股权分析及资产组合管理 (Equity Analysis and Portfolio Management) 财务顾问与法律顾问 (Financial Advisors and the Law) 计量经济学专题研究 (Topics in Econometrics) 衍生证券 (Derivative Securities) 微观经济学理论专题 (Topics in Microeconomics Theory),,singapore,新加坡管理大学_金融经济学理学硕士.json
南洋理工大学,笔译与口译文学硕士,MA Translation and Interpretation,"社科,语言,人文学院",专业方向: 语言 入学时间: 1/8月 项目时长: 1年 项目学费: 38913新币/年,具有认可机构颁发的学士学位，并具备中英文语言能力证明 或具备学校接受的其他资格及相关工作经验,南洋理工大学笔译与口译文学硕士学位项目旨在为学生提供高标准的中英翻译专业培训，使他们具备相关领域的前沿理论知识，并帮助他们对知识和理论有透彻的理解。在不同的社会和文化背景下进行实践。南洋理工大学笔译与口译文学硕士学位计划的目标是，让毕业生将做好充分准备，使他们在公共和私营部门提供高度专业的服务以及在提高新加坡和亚太地区翻译相关专业的整体能力方面发挥领导作用。MTI课程以世界上最好的翻译课程为基准，其结构以强大的学术重点为基础，充分利用了新加坡在双语教学和研究方面公认的专业知识。它寻求建立并进一步加强南洋理工大学现有的翻译、双语和双文化研究能力和教学专长。同时，努力将计算语言学、机器翻译、语料库语言学等领域的最新前沿技术融入其中。 在教学法上，MTI计划以跨学科课程为特色，提供以翻译为重点、与行业相关且具有学术刺激的专业培训，这些培训以卓越的教学和研究为基础。其专业课程将笔译和口译技能的培训与大学知名的专业领域知识相结合。这些包括翻译研究、语言学、文学、公共政策、大众传播、商业、医学和计算机工程。该课程还将包括在北京外国语大学（BFSU）进行的为期6周的沉浸式课程，该大学是口译和笔译教学以及外语研究的先进机构。,{{ per_lang.name }},"翻译理论 (Translation Theories) 专业翻译I （文学） (Specialised Translation I (Literature)) 口译导论 (Introduction to Interpretation) 毕业论文 (Dissertation) 专业翻译II (法律、金融、经济) (Specialised Translation II (Law, Finance, and Economics)) 专业翻译III (国际组织与政府机构翻译) (Specialised Translation III (Translation for International Organisations and Government Institutions)) 中英口译 (Chinese-to-English Interpretation) 英中口译 (English-to-Chinese Interpretation) 翻译科技 (Translation Technology) 专业翻译IV (科学、技术、医学) (Specialised Translation IV (Science, Technology and Medicine))",,singapore,南洋理工大学_笔译与口译文学硕士.json
新加坡国立大学,定量金融理学硕士,MSc Quantitative Finance,"商科,金工金数,理学院",专业方向: 金工金数 入学时间: 8月 项目时长: 1年 项目学费: 55590新币/年,"具有荣誉学位（或4年制学士学位），需要数学、统计学、经济学、金融学、计算机科学、工程学、物理科学背景，或具备同等学历，包含强大的数学背景 需要提交存款证明45,000新币",新加坡国立大学定量金融理学硕士学位课程由新加坡国立大学数学系，与经济系和统计与应用概率系合作开设的项目。该项目适合具备数学专业背景、想要通过研究生阶段的学习强化自身定量金融分析能力和职业技能的学生。随着金融市场变得更加复杂，需要更高层次的数学知识来更好地理解和分析金融模型和产品并降低风险。在过去的三十年里，定量金融已经发展成为一个活跃而成熟的数学分支。新加坡国立大学定量金融理学硕士学位课程的目标是为基于高级课程的量化金融提供培训。该计划的毕业生有望获得定量金融方面的高级知识，这将使他们能够满足金融部门对具有深入定量金融知识的专业人士日益增长的需求。,{{ per_lang.name }},结构化产品 (Structured Products) 风险管理 (Risk Management) 金融衍生品：建模与计算 (Financial Derivatives: Modelling and Computation) 金融时间序列：理论与计算 (Financial Time Series: Theory and Computation) 定量金融概论 (Introduction to Quantitative Finance) 机器学习基础 (Foundations of Machine Learning) 定量金融中的数据科学 (Data Science in Quantitative Finance) 建模与数值模拟 (Modeling and Numerical Simulations) 计算数学 (Computational Mathematics) 利率理论与信用风险 (Interest Rate Theory and Credit Risk) 定量金融中的数值方法 (Numerical Methods in Quantitative Finance) 数量金融专题 I (Topics in Quantitative Finance I) 定量金融专题 II (Topics in Quantitative Finance II) 投资与组合选择 (Investment and Portfolio Selection) 人工智能与金融科技 (AI and FinTech) 定量金融中的蒙特卡罗方法 (Monte Carlo Methods in Quantitative Finance) 财务管理 (Financial Management) 定量金融中的数据工程 (Data Engineering for Quantitative Finance) 定量金融毕业实习 I (Graduate Internship in Quantitative Finance I) 宏观经济学 (Macroeconomics) 定量与计算方法 (Quantitative & Computing Methods) 机器学习与经济预测 (Machine Learning and Economic Forecasting) 公司金融 (Corporate Finance) 非参数回归 (Nonparametric Regression) 应用统计学习 (Applied Statistical Learning),,singapore,新加坡国立大学_定量金融理学硕士.json
南洋理工大学,金融学理学硕士,MSc Finance,"商科,金融,商学院",专业方向: 金融 入学时间: 7月 项目时长: 1年 项目学费: 71940新币/年,具有良好的本科学位，不限专业背景 精通英语和普通话 具备良好的GMAT/GRE成绩 有相关领域工作经验者优先考虑(不强制要求） 该专业为中英文授课,新加坡南洋理工大学金融学理学硕士课程设计旨在培养年轻的双语高管，他们的目标是在中国或者是在以中国经济为目标的地区取得成功的金融生涯。该项目为学生提供在全球金融市场中脱颖而出所需的稳健的和现实的业务基础和国际知名度。这使学生能够发展他们的技能和潜力来挑战既定的范式。,{{ per_lang.name }},Excel在金融领域的应用 (Excel for Finance) Python在金融领域的应用 (Python for Finance) 财务会计基础 (Foundation to Financial Accounting) 实习 (Internship) 公司金融 (Corporate Finance) 财务会计与分析 (Financial Accounting & Analysis) 投资学 (Investments) 金融数据科学 (Data Science for Finance) 固定收益证券分析 (Fixed-Income Securities Analysis) 证券分析与估值 (Security Analysis & Valuation) 全球经济 (Global Economy) 衍生品与结构化产品 (Derivatives & Structured Products) 可持续金融 (Sustainable Finance) 并购与公司估值 (Mergers & Acquisitions & Company Valuation) 金融机构与风险管理 (Financial Institutions & Risk Management) 中国金融市场与政策 (China's Financial Markets & Policies) 财富管理 (Wealth Management) 另类投资概论 (Introduction to Alternative Investments) 可持续发展报告 (Sustainability Reporting) 可持续发展原理与实践 (Sustainability Principles & Practices) 区块链系统：概念与原理 (Blockchain Systems: Concepts & Principles) 机器学习（金融领域） (Machine Learning in Finance),,singapore,南洋理工大学_金融学理学硕士.json
南洋理工大学,电力工程理学硕士,MSc Power Engineering,"工科,电气电子,电气与电子工程学院",专业方向: 电气电子 入学时间: 1/8月 项目时长: 1年 项目学费: 56157新币/年,具有良好的相关学士学位 有相关工作经验者优先考虑,南洋理工大学电力工程理学硕士课程旨在为电气工程专业应届毕业生、在职工程师、研发经理、电力系统设计人员等电力工程相关人员设计，帮助他们进一步深入了解电力电子技术、电能质量、电力系统建模、规划、运行控制问题。该课程旨在使学生适应现代电力行业快速发展带来的挑战，以及满足对专业人才的需求。,{{ per_lang.name }},电力电子变流器 (Power Electronic Converters) 现代电气传动 (Modern Electrical Drives) 可再生能电系统 (Renewable Electrical Energy Systems) 电力系统运行与规划 (Power System Operation and Planning) 电力系统建模与控制 (Power System Modelling and Control) 项目管理与创业 (Project Management & Technopreneurship) 计算机控制系统 (Computer Control Systems) 电磁相容性与干扰 (Electromagnetic Compatibility & Interference) 电能质量 (Power Quality) 数字通信系统 (Digital Communication Systems) 计算机网络 (Computer Networks) 光纤通讯技术 (Optical Fiber Communications) 系统分析 (Systems Analysis) 过程控制 (Process Control),,singapore,南洋理工大学_电力工程理学硕士.json
新加坡国立大学,传染病突发事件理学硕士,MSc Infectious Disease Emergencies,"社科,公共卫生,杨潞龄医学院",专业方向: 公共卫生 入学时间: 8月 项目时长: 1年 项目学费: 54500新币/年,具有学士学位，需要医学学士或健康科学相关学科背景，具备其他资格和相关行业经验的申请者可能会基于具体情况被考虑 本科医学学位的申请者需要具备：a) 1年一般临床经验，不包括新加坡受训医生的实习医生期，b) 1年公共卫生/卫生管理/职业与环境卫生工作经验或已进入临床专科培训 本科非医学学位的申请者需要具备2年公共卫生/健康促进/卫生管理/职业与环境卫生/临床研究/其他相关领域工作经验 需要提供存款证明，能够覆盖学费、杂费和生活费,新加坡国立大学传染病突发事件理学硕士课程旨在培养应对未来传染病紧急情况爆发的反应人员，在2019冠状病毒病大流行之后，全球需要改进系统，以建立应对未来传染病紧急情况的复原力，该课程是为国家、国家以下或机构各级的职业生涯早期至中期专业人员以及疫情应对各方面的专家设计的，提供全面的技能和知识，以在这一不断发展的领域发挥领导作用。,{{ per_lang.name }},"领导与协调 (Leadership and Coordination) 监测与流行病学 (Surveillance and Epidemiology) 危机中的沟通和参与 (Communications and Engagement in a Crisis) 临床管理、感染预防与控制（IPC）以及设施基础建设 (Clinical Management, Infection Prevention and Control (IPC), and Facility Infrastructure) 疫情控制的干预措施 (Interventions for Outbreak Control) 大流行病研究 (Research in a Pandemic) 心理健康和对弱势群体的支持 (Mental Health and Support for the Vulnerable) 实验室 (Laboratory) 疫情应对培训 (Training for Outbreak Response) 容易爆发的病原体 (Outbreak Prone Pathogens) 传染病应急反应模型 (Infectious Disease Emergency Response Modelling)",,singapore,新加坡国立大学_传染病突发事件理学硕士.json
新加坡国立大学,当代东南亚文学硕士,MA Contemporary Southeast Asia,"社科,国际关系,人文社科学院",专业方向: 国际关系 入学时间: 8月 项目时长: 1年 项目学费: 44050新币/年,"具有良好的新加坡国立大学荣誉学位（优异/二等及以上）或同等学历（例如，4年制学士学位且平均成绩至少达到B或同等水平），需要相关学科背景，如人文科学、社会科学、区域研究和其他跨学科研究，具备学习过东南亚或亚洲相关学科的证据；或 具有良好的学士学位（平均成绩至少达到B或同等水平），需要相关学科背景，如人文、社会科学、区域研究和其他跨学科研究，具备学习过东南亚或亚洲相关学科的证据，并成功完成入学考试；或 特殊情况下会接受其他相关资格和经验且成功完成入学考试的申请者，需经研究生院批准。 需要提供存款证明50,000新币",新加坡国立大学当代东南亚文学硕士项目旨在培养学生不仅能够理解该地区正在发生的深刻变化，而且能够潜在地引领这些变化，毕业生将具备扎实的知识、敏锐的分析技能和经过磨练的跨文化能力，能够参与该地区持续存在的全球问题。,{{ per_lang.name }},"当代东南亚历史、政治与经济 (History, Politics and Economics of Modern Southeast Asia) 东南亚社会与文化 (Societies and Cultures of Southeast Asia) 论文 (Thesis) 东南亚环境政治 (Politics of Environment in Southeast Asia) 东南亚海上运输 (Southeast Asia by Sea) 东南亚景观 (Landscapes of Southeast Asia) 东南亚艺术 (The Arts in Southeast Asia) 东南亚叛乱与革命 (Revolt and Revolution in Southeast Asia) 东南亚技术政治 (Technopolitics in Southeast Asia) 国家研究：东南亚大陆国家 (Country Studies: Mainland Southeast Asia) 国家研究：泰国 (Country Studies: Thailand) 独立研究 (Independent Study) 东南亚研究课题 (Topics in Southeast Asian Studies)",,singapore,新加坡国立大学_当代东南亚文学硕士.json
南洋理工大学,应用语言学文学硕士,MA Applied Linguistics,"社科,语言,教育学院",专业方向: 语言 入学时间: 1/8月 项目时长: 1年 项目学费: 44145新币/年,具有良好的本科学位，需要英语语言研究背景；或 具有相关领域的良好本科学位，并具有英语语言研究研究生文凭 应届毕业生无法申请秋季入学,新加坡南洋理工大学应用语言学文学硕士项目提供应用语言学研究领域的广泛课程，涵盖应用语言学、语言教学和语言学习等领域，同时注重理论知识和实践应用的平衡。该项目主要面向英语语言教学从业人员，提高他们的学术资质，促进职业发展，同时也适用于对语言感兴趣的人群。该项目为学生提供批判性看待应用语言学研究现状的机会，巩固学生语言学及语言学习相关的理论基础。学生将能够在不同背景下进行语言教学课题研究，研究语言相关的议题，获得称职的语言教育者和研究者所必备的语言素养，从而促进个人职业生涯的全面发展。在该项目的学习过程中，学生将接触到大量的最新概念，新技能，学会更科学地理解和看待新加坡及全球语言相关课题，从而能够在日常工作与生活中更好地欣赏语言的魅力并发挥语言的力量。,{{ per_lang.name }},应用语言学研究方法  (Research Methodology in Applied Linguistics) 话语研究 (Discourse Studies) 语言习得研究 (Language Acquisition Studies) 语言课程开发 (Language Curriculum Development) 课堂教学的社会语言学视角 (Sociolinguistic Perspective on the Classroom) 课堂话语分析 (Classroom Discourse Analysis) 贯穿课程的语言 (Language Across the Curriculum) 语言教师教育 (Language Teacher Education) 文学和语言教育 (Literature and Language Education) 教材设计与编写 (Materials Design and Development) 第二语言课堂学习 (Second Language Classroom Learning) 批判研究 (Critical Inquiry) 系统功能语言学 (Systemic Functional Linguistics) 语用学专题研究 (Topics in Pragmatics) 语言教学法 (Language Teaching Methodology),,singapore,南洋理工大学_应用语言学文学硕士.json
新加坡国立大学,中国文化与语言文学硕士,MA Chinese Culture and Language,"社科,文化,人文社科学院",专业方向: 文化 入学时间: 8月 项目时长: 1年 项目学费: 41700新币/年,"具有新加坡国立大学荣誉学位（优异/二等及以上）或同等学历（例如，4年制学士学位且平均成绩至少达到B或同等水平学历）；或 具有该学科或相关领域的良好的学士学位（平均成绩至少达到B或同等水平），并成功完成入学考试；或 具有人文社科学院认可的其他资格和经验。 需要提供存款证明50,000新币",新加坡国立大学中文系为亚洲地区汉学研究的中心之一。它的宗旨在于促进汉学与汉语学科专业的研究与教学，为世界各地的学生和学者提供进修和研究的机会。中文系隶属于国大文学暨社会科学院，其师资人员来自世界各地的著名学府。近年来，每年有超过1千名学生修读本系开办的各级课程。新加坡国立大学中国文化与语言文学硕士项目旨在为对中国文、史、哲、语言和海外华人感兴趣的相关领域的毕业生提供高素质综合课程，以便提供进一步深造的机会。此项目也为华文教师、新闻从业员和其他相关的华文工作者提供深造和进修的机会。,{{ per_lang.name }},"当代汉学研究导论  (Contemporary Research in Chinese Studies ) 当代汉语研究导论  (Contemporary Research in Chinese Language ) 唐帝国的历史与文明——政治、制度与文化  (History and Civilizations of the Tang Empire ) 中国佛教宣教文学  (Chinese Buddhist Proselytic Literature ) 新马地区的传统中国文化  (Traditional Chinese Culture in Singapore and Malaysia ) 明代的社会与文化  (Society and Culture of the Ming Dynasty ) 影响近代中国的南洋华人  (Prominent Nanyang Chinese in Modern China ) 中国思想史  (Chinese Intellectual History, 10th – 19th Century ) 中国历史研究专题  (Major Themes in Chinese History ) 中国宗族与地方社会  (Chinese Kinship and Local Society ) 词学研究  (Ci Studies ) 中国辞赋  (Chinese Rhapsody ) 汉语语法化  (Grammaticalization in Chinese ) 华语之谓“美”  (Beauty Through Chinese Lens ) 汉语语言学研究专题  (Special Topics in Chinese Linguistics )",,singapore,新加坡国立大学_中国文化与语言文学硕士.json
新加坡国立大学,文化艺术创新创业管理文学硕士,MA Arts and Cultural Entrepreneurship,"商科,创业与创新,人文社科学院",专业方向: 创业与创新 入学时间: 1/8月 项目时长: 1年 项目学费: 44908新币/年,"具有新加坡国立大学荣誉学位（优异/二等及以上）或同等学历（例如，4年制学士学位且平均成绩至少达到B或同等水平）；或 具有相关领域（包括社会科学、自然科学、商业和经济、人文、法律或计算机方面的基础培训）的学士学位（平均成绩至少达到B或同等水平），并且具备至少2年相关工作经验；或 具有其他学士学位资格和经验且经研究生院认可。 需要提供存款证明60,000新币",新加坡国立大学文化艺术创新创业管理文学硕士计划专注于创意和创意创业，旨在满足创意专业人士的需求，并满足新加坡和亚洲快速发展的文化创意产业部门的强烈需求。该硕士计划将涵盖文化政策、遗产与资源管理，艺术与文化创业，数字营销，文化外交，文化分析与信息学，博物馆、展览与策展等内容，并灵活探索前沿课题。新加坡国立大学文化艺术创新创业管理文学硕士计划还研究了创造力作为文化、经济和社会进步力量的用途。学生将向行业从业者和专业教育者学习创业创造力，以及它如何塑造新企业并引领创业成长。,{{ per_lang.name }},"文化政策 (Cultural Policy) 艺术与文化创业方法 (Approaches to Arts & Cultural Entrepreneurship) 东南亚文化资源管理 (Cultural Resource Management in SE Asia) 遗产：人民与制度 (Heritage: Peoples and Institutions) 互动媒体营销实践 (Interactive Media Marketing Practices) 文化产业与法律 (Culture Industries and the Law) 艺术商业 (Arts Business) 博物馆、展览与策展 (Museums, Exhibitions and Curation) 管理文化活动 (Managing Cultural Events) 应用遗产 (Applied Heritage) 文化外交与情报 (Cultural Diplomacy and Intelligence) 文化分析与信息学 (Cultural Analytics and Informatics) 艺术与文化创业专题 (Topics in Arts and Cultural Entrepreneurship) 实习 (Internship) 毕业项目 (Final Year Project)",,singapore,新加坡国立大学_文化艺术创新创业管理文学硕士.json
南洋理工大学,管理经济学理学硕士（英文授课）,MSc Managerial Economics (English),"商科,经济,南洋公共管理学院",专业方向: 经济 入学时间: 1/8月 项目时长: 1年 项目学费: 43000新币/年,具有认可大学或院校颁发的良好学士学位，或具备学术委员会批准的其他资格 托福分数要求不低于88-89,南洋理工大学管理经济学硕士（英文授课）旨在培养在商业、政府和社会背景下具有战略思维和管理决策敏锐度的领导者。该硕士计划将经济理论与管理实践相结合，以应对公共和私营部门的挑战。南洋理工大学管理经济学硕士计划的跨学科性质加入了应用经济理论来加强政策设计的重点。该硕士计划涵盖金融、技术、数据、研究和专业发展技能等蓬勃发展的领域，除了讲座和研讨会外，还包括课堂讨论、研讨会和小组项目的沉浸式学习体验。,{{ per_lang.name }},管理经济：理论与应用 (Managerial Economics: Theory&Applications) 宏观经济学：理论与应用 (Macroeconomics: Theory & Applications) 金融分析与金融管理 (Financial Analysis & Financial Management) 研究与统计方法 (Research & Statistical Methods) 政策分析行为经济学 (Behavioural Economics for Policy Analysis) 数据分析 (Data Analytics) 项目管理 (Project Management) 金融机构风险管理 (Risk Management for Financial Institutes) 电子营销分析 (Digital Marketing Analytics) 财务管理与金融科技 (Wealth Management & Fintech) 应用经济研究：数据和分析 (Applied Economic Research: Data & Analysis),,singapore,南洋理工大学_管理经济学理学硕士（英文授课）.json
新加坡国立大学,英语语言与语言学文学硕士,MA English Language and Linguistics,"社科,语言,人文社科学院",专业方向: 语言 入学时间: 8月 项目时长: 1年 项目学费: 41750新币/年,"具有新加坡国立大学荣誉学位（二等及以上）或同等学历（例如，4年制学士学位且平均成绩至少达到B或同等水平），需要该学科或相关领域背景；或 具有良好的学士学位（平均成绩至少达到B或同等水平），需要该学科或相关领域背景，并且成功通过入学考试；或 特殊情况下经研究生院批准会接受其他资格和经验。 需要提交writing sample（4000-6000字） 需要提供存款证明50,000新币",新加坡国立大学英语语言和语言学文学硕士的主要研究方向更确切的说是多语背景下的英语语言研究。民族、语言和具体情境总是相互作用着，全球化趋势使得对这种相互作用的专门研究显得非常有必要。在新加坡，语言与社会、文化因素之间以复杂而又有趣的方式彼此相互作用着，学生和研究人员可以近距离观察这一互动产生的原因、效果和作用。学系的教授团队都是英语语言研究领域的专家，他们会给学生带来各种不同的研究视角来理解社会生活中的语言现象。我们的课程设置能明显反映出教授团队多样的研究方向和研究方法。新加坡国立大学英语语言和语言学文学硕士的毕业生将在语言研究领域获得专业知识的提升。,{{ per_lang.name }},"高级心理语言学 (Advanced Psycholinguistics) 话语分析 (Approaches to Discourse) 语言变异与变化 (Language Variation and Change) 知识文本建构 (Textual Construction of Knowledge ) 独立研究 (Independent Study) 语言接触 (Contact Languages) 社会语言学论证 (Sociolinguistic Argumentation) 第二外语写作 (Second Language Writing) 互动话语 (Interactional Discourse) 语言和性别研究 (Language, Gender, and Text) 语言、意识形态和权力 (Language, Ideology and Power) 学位论文 (Honours Thesis) 第二语言写作探究 (Exploring Second Language Writing) 句法学 (Syntax) 词汇学与词典学 (Lexicology and Lexicography)",,singapore,新加坡国立大学_英语语言与语言学文学硕士.json
新加坡管理大学,法学硕士,LLM,"社科,法律,法学院",专业方向: 法律 入学时间: 8月 项目时长: 1年 项目学费: 38150新币/年,司法研究方向： - 具有良好的法律第一学位（LLB或JD或同等学历） - 具备法律或司法职位大量相关经验 其他方向： - 具有良好的法律第一学位（LLB或JD或同等学历） - 非法律专业毕业生如果具备法律相关职位大量相关专业经验，其申请也可能被考虑,新加坡管理大学法学硕士课程经过精心设计，旨在扩展学生在经典和新颖法律领域的法律知识，同时为学生提供必要的技能，为跨境交易提供即时建议，或提供高质量的裁决和司法行政结果。学校的教授从不同的工作经验中获得了前沿知识，他们将向学生介绍他们的跨学科知识。小班制允许举办高度互动的研讨会，同时也提供一个富有挑战性的大学学习环境。法学院与法律界的积极合作，以及强大的校友网络和职业服务团队，极大地为学生未来的职业生涯带来了益处。,{{ per_lang.name }},"兼并与收购法 (Law of Mergers and Acquisitions) 国际商法：亚洲视角 (International Business Law: An Asian Perspective) 新加坡及香港信托和财富管理 (Trusts and Wealth Management in Singapore and Hong Kong) 新加坡、香港及大中华地区的金融监管 (Financial Regulation in Singapore, Hong Kong and Greater China) 亚洲外资法 (Foreign Investment Law in Asia) 法律之外：亚洲跨境问题的监管机制 (Beyond the Law: Regulatory Mechanisms in Cross-border Issues in the Asian Context) 中国合同法 (Chinese Contract Law) 商业诽谤：亚洲及比较视角 (Business Defamation: Asian and Comparative Perspectives) 伊斯兰法与金融在亚洲 (Islamic Law and Finance in Asia) 知识产权法及政策：国际及亚洲视角 (Intellectual Property Law and Policy: International and Asian Perspectives) 商业纠纷法 (Commercial Conflict of Laws) 亚洲及全球信息技术保护法趋势 (Asian and Global Trends in Information Technology Law) 法律及媒介环境的不断变化：亚洲和亚洲以外的经验 (Law and the Changing Media Environment: Lessons from Asia and Beyond)",,singapore,新加坡管理大学_法学硕士.json
新加坡国立大学,言语​​与语言病理学理学硕士,MSc Speech & Language Pathology,"社科,医学,杨潞龄医学院",专业方向: 医学 入学时间: 1月 项目时长: 2年 项目学费: 46162新币/年,具有认可大学颁发的良好学士学位（平均成绩达到B或同等水平），或特殊情况研究生院委员会批准的其他资格和经验； 通过核心项目工作人员设置的分班测试（面试和/或笔试）； 根据具体情况会考虑通过核心项目工作人员指定的任意预备课程的申请者； 优先考虑具有荣誉学位、适当工作经验和相关背景（解剖学、语言学、生理学或心理学）的申请者,新加坡国立大学言语​​与语言病理学理学硕士项目是一个为期两年的全日制课程，由杨潞龄医学院（SoM）和艺术与社会科学学院（FASS）联合提供，隶属于医学部管理。医学研究生（DGMS）。该项目于 2007 年 1 月开始，专为寻求言语和语言病理学家专业实践培训的任何学科的毕业生而设计。新加坡国立大学言语​​与语言病理学理学硕士项目每两年招生一次，通常包括 30 名候选人，其中包括具有相关工作经验的职业生涯中期毕业生，以及一些海外候选人。学生毕业后将获得新加坡国立大学 (NUS) 理学硕士学位（言语和语言病理学）学位。,{{ per_lang.name }},正常功能1 (Normal Functioning 1) 正常功能2 (Normal Functioning 2) 专业实践1 (Professional Practice 1) 功能受损-儿童1 (Impaired Functioning - Children 1) 功能受损-儿童2 (Impaired Functioning - Children 2) 功能受损-成人2 (Impaired Functioning - Adults 2) 专业实践2 (Professional Practice 2) 干预与管理-儿童1 (Intervention and Management - Children 1) 干预和管理-成人1 (Intervention and Management - Adults 1) 研究项目1 (Research Project 1) 专业实践3 (Professional Practice 3) 干预与管理-儿童2 (Intervention and Management - Children 2) 干预和管理-成人2 (Intervention and Management - Adults 2) 研究项目2 (Research Project 2) 专业实践问题 (Professional Practice Issues),,singapore,新加坡国立大学_言语​​与语言病理学理学硕士.json
南洋理工大学,教育学硕士（学习科学与技术）,Master of Education (Learning Sciences and Technologies),"社科,教育,教育学院",专业方向: 教育 入学时间: 8月 项目时长: 1年 项目学费: 41900新币/年,具有认可大学颁发的良好学士学位，或具有相关的南洋理工大学FlexiMasters且成绩优秀 具有教师资格如新加坡国立教育学院颁发的教育研究生文凭，或具备至少1年教育相关工作经验,教育学硕士课程主要面向在新加坡学校和教育部工作的教育工作者，学校也欢迎具有教育背景并希望提升教育知识和技能的大学毕业生申请。南洋理工大学教育学硕士（学习科学与技术）项目旨在培养对学习科学的深入理解，为学生提供研究知识和技能，以便其在自己的专业兴趣领域进行相关调查，课程通过拓宽和深化当前学习理论和研究趋势的知识，培养具有教育21世纪学习者的能力的执业教育人员，研究方法和学习技术的使用也将成为特色，学生将有机会对技术支持的教学法进行小规模研究。,{{ per_lang.name }},"教育调查 (Educational Inquiry) 学习科学基础 (Foundations of the Learning Sciences) 学习科学研究方法 (Research Methodologies for the Learning Sciences) 计算机支持的协作学习与知识构建 (Computer Supported Collaborative Learning and Knowledge Building) 技术作为认知工具 (Technologies as Cognitive Tools) 以技术为媒介的学习环境的设计 (Design of Technology-mediated Learning Environments) 神经科学、技术与学习 (Neuroscience, Technology and Learning) 交互式学习环境的设计 (Design of Interactive Learning Environments) ICT整合的技术与教学考虑 (Technological and Pedagogical Considerations for ICT Integration) 以技术为媒介的学习的教学领导 (Instructional Leadership for Technology-mediated Learning) 混合式学习的设计 (Design for Blended Learning) 技术支持评估 (Technology Supported Assessment) 教育设计研究 (Educational Design Research) 基于数字游戏的学习 (Digital Game-Based Learning) 教育从业者学习分析 (Learning Analytics for Educational Practitioners) 教育中的人工智能：教学范围 (Artificial Intelligence for Education: A Pedagogical Spectrum)",,singapore,南洋理工大学_教育学硕士（学习科学与技术）.json
