school_id,cn_name,en_name,tags,introduction,apply_requirements,objectives,language_requirements,curriculum,success_cases,country
澳门科技大学,地球与行星科学硕士,Master of Earth and Planetary Sciences,"理科,物理,太空科学研究所",专业方向: 物理 入学时间: 9月 项目时长: 2年 项目学费: 120000港币/年,修读行星科学、天文学、地球科学、物理、化学、生物、地质、计算机科学、数学或相近学科之各类专业（含工科）,,,现代天文学 (Modern Astronomy) 遥感技术原理 (Principles of Remote Sensing) 行星科学 (Planetary Science) 地球科学 (Earth Science) 数值方法 (Numerical Methods) 文献综述与选题报告 (Literature Survey and Thesis Proposal),,澳门
澳门科技大学,空间大数据分析学硕士,Master of Space Big Data Analytics,"工科,地球科学,太空科学研究所",专业方向: 地球科学 入学时间: 9月 项目时长: 2年 项目学费: 120000港币/年,修读计算机、地球科学、行星科学、大数据科学、数学、物理学、天文学或相近学科之各类专业,此课程旨在培养具有大数据分析和空间信息系统知识背景的高层次空间数据分析人才，为智慧城市、商业模式、云计算、城市计算和大数据驱动的人类移动规律等方面的研究机构及企业提供高素质人才。,,空间统计学 (Spatial Statistics) 数据挖掘理论与应用 (Theory and Applications of Data Mining) 人工智能技术 (Artificial Intelligence Technology) 遥感原理及应用 (Principles and Applications of Remote Sensing) 空间数据库系统 (Spatial Database System) 数据科学常用工具 (Common Tools for Data Science) 应用软件及程序设计 (Application Software and Program Design),,澳门
澳门大学,澳门研究哲学硕士,MPhil Macao Studies,"社科,国际关系,社会科学学院",专业方向: 国际关系 入学时间: 8月 项目时长: 2年 项目学费: 87000澳门币/年,持有澳门大学认可的学士学位或同等学历。申请人也可能被要求具备其他知识或专业经验。申请人必须在学士学位学习中达到相当于C级或更高的总成绩,澳门历史悠久，在东西方文化、历史、宗教等方面互动中发挥重要桥梁作用。澳门范式：多元文化社会，不同宗教、文化、价值观的和谐融洽。“一国两制”的条件下，对澳门未来从政治、经济、社会、文化等方面发展的深入研究，可以为地理面积小、人口密集的政体的研究、为多元文化社会的研究、为历史的迷思如何塑造地区认同等问题提供有用的研究方法。,,澳门研究研讨会 (Research Seminars on Macao Studies) 澳门史 (Macao History) 澳门当代问题 (Contemporary Issues of Macao) 研究方法 (Research Methods) 论文 (Thesis) 澳门文化与社会 (Culture and Society of Macao) 澳门文学艺术 (Literature and the Arts in Macao) 澳门城市地理 (Urban Geography of Macao) 澳门历史遗产 (Historical Heritage of Macao) 澳门经济 (The Macao Economy) 澳门的政治与政治制度 (Politics and Politial System in Macao) 区域研究 (Regional Studies) 研究实习 (Research Practice),,澳门
澳门大学,土木工程理学硕士,MSc Civil Engineering,"工科,土木工程,科技学院",专业方向: 土木工程 入学时间: 8月 项目时长: 2年 项目学费: 87000澳门币/年,持有澳门大学认可的学士学位或同等学历。申请人也可能被要求具备其他知识或专业经验。申请人必须在学士学位学习中达到相当于C级或更高的总成绩,土木工程是一个广泛的专业领域，包括结构和基础设计、管理和规划，以及机场、桥梁、公路、铁路、隧道、港口、码头、水坝、供水系统、排水系统、灌溉系统、污水处理系统、住宅和工业建筑的施工和维护。澳门大学土木工程理学硕士课程侧重于结构工程、岩土工程、建筑管理、环境工程和水资源等领域。,,高等数学 (Advanced Mathematics) 流体力学 (Hydrodynamics) 学术/应用论文 (Academic/Applied Thesis) 有限元法 (Finite Element Method) 工程经济分析与财务管理 (Economic Analysis and Financial Management in Engineering) 环境流体力学 (Environmental Fluid Mechanics) 沉积物运移 (Sediment Transport) 城市固体废物管理 (Municipal Solid Waste Management) 环境化学 (Environmental Chemistry) 水和废水处理：原理和应用 (Water and Waste Water Treatment: Principle and Application) 水污染控制：物理和化学模拟 (Water Pollution Control: Physical and Chemical Modeling) 弹塑性力学 (Theory of Elasticity and Plasticity) 高级土力学 (Advanced Soil Mechanics) 地下调查和土壤测试 (Subsurface Investigation and Soil Testing) 高级基础工程 (Advanced Foundation Engineering) 土壤动力学 (Soil Dynamics) 基础结构设计 (Structural Design of Foundations) 岩土工程专题 (Special Topics in Geotechnical Engineering) 结构振动 (Structural Vibrations) 板壳结构 (Plates and Shells),,澳门
澳门大学,历史哲学硕士,MPhil History,"社科,历史,人文学院",专业方向: 历史 入学时间: 8月 项目时长: 2年 项目学费: 87000澳门币/年,持有澳门大学认可的学士学位或同等学历。申请人也可能被要求具备其他知识或专业经验。申请人必须在学士学位学习中达到相当于C级或更高的总成绩,澳门大学历史哲学硕士项目旨在扩展学生的历史知识，并培养批判性分析、进行研究和撰写关于历史领域主题的论文的技能。最终，学生将更好地为进一步的学术学习或未来的职业生涯做好准备。完成澳门大学历史哲学硕士项目课程后，学生应能够： 1. 认识和确定历史学的基本理论和研究方法，并在中国史、中西交往史和历史学三个领域进行专门训练澳门。 2. 展示批判性思维和沟通能力，运用学术写作的原则和技巧，为未来在分析、写作和沟通领域的职业生涯打下坚实的基础。 3. 了解学术道德，独立进行学术研究，撰写有一定发现的学术论文，培养对学术研究的兴趣。,,先进历史理论与实践 (Advanced Historical Theory and Practice) 高级阅读研讨会 (Advanced Reading Seminar) 高级写作研讨会 (Advanced Writing Seminar) 佛教雕塑和绘画 (Buddhist Sculptures and Paintings) 中国帝国晚期 (Late Imperial China) 世界历史上的海盗 (Pirates in World History) 中国古代法律与社会 (Law and Society in Ancient China) 佛教艺术:理论与历史 (Buddhist Art: Theory and History) 东西方互动与交流 (East-West Interactions and Exchanges) 东南亚史学 (Historiography of Southeast Asia) 帝国主义研究I (Studies in Imperialism I) 帝国主义研究II (Studies in Imperialism I) 历史专题I (Special Topics in History I) 历史专题II (Special Topics in History II) 全球史研究方法 (Approaches to Global History),,澳门
澳门城市大学,教学研究硕士（中文学制）,Master of Teaching and Learning Studies (Chinese),"社科,教育,教育学院",专业方向: 教育 入学时间: 9月 项目时长: 2年 项目学费: 110000港币/年,往届本科毕业生需参加2025年全国硕士研究生招生考试且初试总成绩过国家A类线。 应届本科毕业生不受考研限制。,澳门城市大学教学研究硕士课程是澳门首个专注于推进 K-12 教学研究的硕士课程。它的推出是为了满足努力提高教学技能的在职教师和渴望在 K-12 学校任教的教师的需求。该计划提供的课程以教育学术研究、理论指导教学实践以及将智能技术融入课堂以实现灵活教育为特色。以论文代替，指导学生完成具有重要实用价值并被国际广泛接受的教育行动研究项目或以教学为基础的研究报告，这在澳门高等教育中独树一帜。考虑到大部分在职学生的需求，该计划提供灵活的课程表和教学方法。完成所有相关课程和项目报告后，将授予教学研究硕士学位。,,教育研究方法论 I (Research Methodology in Education I) 教育研究方法 II (Research Methodology in Education II) 信息技术与学习 (Information Technology and Learning) 学习理论 (Learning Theories) 教室安排 (Classroom Management) 教学评估 (Teaching Assessment) 课程设计与实施 (Curriculum Design and  Implementation) 特定学科教学法 (Subject-Specific Pedagogy) 当前教与学问题研讨会 (Seminars on Current Issues in Teaching and Learning) 现代教育技术与应用 (Modern Education Technology and Application) 混合学习设计 (Blended Learning Design) 数字学习问题研讨会 (Seminars on Digital Learning Issues) 项目报告 (Project Report),,澳门
澳门大学,机器人与自主系统理学硕士,MSc Robotics and Autonomous Systems,"工科,机械工程,科技学院",专业方向: 机械工程 入学时间: 8月 项目时长: 2年 项目学费: 87000澳门币/年,持有澳门大学认可的学士学位或同等学历。申请人也可能被要求具备其他知识或专业经验。申请人必须在学士学位学习中达到相当于C级或更高的总成绩,应用计算和数学知识解决计算机科学学科中复杂计算问题的能力。将计算专业知识和适用于计算专业的领域知识应用于计算模型的抽象和概念化的能力。分析问题，识别和定义适合其解决方案的计算要求的能力。设计，实现和评估基于计算机的系统，过程，组件或程序，以满足公众健康与安全，社会和环境方面的适当考虑，从而满足所需需求的能力。在团队中有效运作以实现共同目标的能力。对专业，道德，法律，安全和社会问题及责任的理解。与众多受众进行有效沟通的能力。分析计算对个人，组织和社会的本地和全球影响的能力。认识到持续职业发展的必要性和能力。在了解限制的情况下使用计算实践所需的当前技术，技能和工具的能力。,,移动机器人简介 (Introduction to Mobile Robotics) 传感器和执行器简介 (Introduction to Sensors and Actuators) 项目报告 (Project Report) 嵌入式系统 (Embedded System) 高级机器人与控制 (Advanced Robotics and Control) 智能理论与工程应用 (Intelligent Theory and Engineering Applications) 空中机器人 (Aerial Robotics) 机器人专题 (Special Topics in Robotics) 自治系统专题 (Special Topics in Autonomous Systems) 数据科学编程简介 (Introduction to Data Science Programming) 机器学习工具 (Tools for Machine Learning) 物联网简介 (Introduction to Internet of Things) 工程系统的预测和健康管理 (Prognostics and Health Management of Engineering Systems),,澳门
澳门城市大学,城市规划与设计硕士（中文学制）,Master of Urban Planning and Design (Chinese),"社科,建筑,创新设计学院",专业方向: 建筑 入学时间: 9月 项目时长: 2年 项目学费: 110000港币/年,往届本科毕业生需参加2025年全国硕士研究生招生考试且初试总成绩过国家A类线。 应届本科毕业生不受考研限制。,以专业研究型教育带动研究生教学，实现澳门城市规划与管理高水平研究成果，实现城市管理的科学化、规范化、制度化的实践要求，满足澳门城市规划与管理部门的城市发展与人才需要。 毕业生可以进入专业研究机构、政府机构、规划院、设计院、规划局、房地产开发公司等部门，从事规划设计与管理工作、专业研究，为继续深入研究打下基础。相关研究内容包括：城市规划、城市设计、风景园林设计、规划管理、智慧城市研究等。可从事艺术类博物馆、美术展览馆、艺术品与文物收藏保护、考古研究、陈列展览、宣传教育等方面的设计、教学和科研工作。,,,,澳门
澳门科技大学,应用数学与数据科学硕士,MSc in Applied Mathematics and Data Science,"理科,数据科学,创新工程学院",专业方向: 数据科学 入学时间: 1/9月 项目时长: 2年 项目学费: 120000港币/年,修读数学、物理、计算机、工程、统计、经济、生物和医学或相关专业,本课程致力于培养应用数学与数据科学高级人才，以供应工商业界、研究机构、以及学术界的人才需求，并发展在跨领域研究中所需要的应用数学与数据科学相关的理论与应用，推动大数据处理在各行业中的整合应用。为粤港澳大湾区提供大数据分析人才。,,数据科学中的数学方法 (Mathematics Methods for Data Science) 数值线性代数 (Numerical Linear Algebra) 数据科学开源工具 (Open Source Tool for Data Science) 应用统计分析 (Applied Statistics) 数据挖掘 (Data Mining) 机器学习 (Machine Learning),,澳门
澳门大学,智慧海洋技术理学硕士,MSc Smart Ocean Technology,"工科,海洋技术,科技学院",专业方向: 海洋技术 入学时间: 8月 项目时长: 2年 项目学费: 87000澳门币/年,持有澳门大学认可的学士学位或同等学历。申请人也可能被要求具备其他知识或专业经验。申请人必须在学士学位学习中达到相当于C级或更高的总成绩,澳门大学智慧海洋技术理学硕士课程旨在培养学生掌握海洋信息和数据采集、大数据科学、先进的数据处理、水下声学与成像、水下通信和海洋传感器的原理和技术，并应用于海洋装备研发、海洋观测预报、海洋管理等领域。学生将具备胜任海洋观测监测、海洋研究和海洋高新技术产业的专业技能。 澳门大学智慧海洋技术理学硕士项目旨在使学生能够具备适用于海洋科学和技术的知识并将其应用于学位学科或专业领域的能力；设计和执行实验，分析和解释与海洋科学和技术相关的数据的能力；在现实约束条件下（如经济、环境、社会、政治、伦理、健康与安全、可制造性和可持续性），设计系统、零部件或流程以满足所需的能力；识别、制定和解决与海洋科学和技术相关的复杂问题的能力；使用与海洋科学和技术工程实践相适应的技术、技能和现代工程工具的能力；使用与海洋科学和技术相关的计算机工具，并了解其过程和限制的能力。,,海洋遥感 (Ocean Remote Sensing) 海洋学导论 (Introduction to Oceanography) 物理海洋学 (Physical Oceanography) 资料库和资料挖掘技术 (Database and Data Mining Technologies) 海洋声学 (Ocean Acoustics) 海洋传感器 (Ocean Sensors) 机器学习在海洋科学的应用 (Machine Learning and Applications in Ocean Science) 海洋机器人及应用 (Marine Robotics and Application) 海洋观测与模拟专题 (Special Topics in Ocean Observation and Modeling) 水下通讯与网路专题 (Special Topics in Underwater Communication and Networks) 云计算 (Cloud Computing) 项目报告 (Project Report) 实习及报告 (Internship and Report),,澳门
澳门大学,临床心理学社会科学硕士,MSocSc Clinical Psychology,"社科,心理学,社会科学学院",专业方向: 心理学 入学时间: 8月 项目时长: 3年 项目学费: 58000澳门币/年,持有澳门大学认可的学士学位或同等学历，必须具有心理学学士学位。申请人也可能被要求具备其他知识或专业经验。申请人必须在学士学位学习中达到相当于C级或更高的总成绩,澳门大学临床心理学社会科学硕士项目采用科学家-从业者培训模式，将提供学术和临床培训，使该课程的毕业生能够在澳门从事心理治疗师工作。该课程的培训内容包括课程作业、研究论文和各种实习环境。,,心理评估：认知能力 (Psychological Assessment: Cognitive Abilities) 心理评估：神经心理学 (Psychological Assessment: Neuropsychology) 心理评估：个性/情感 (Psychological Assessment: Personality/Emotion) 心理治疗：精神分析疗法 (Psychotherapy: Psychoanalysis Therapy) 心理疗法：人本主义治疗 (Psychotherapy: Humanistic Therapy) 心理治疗：认知行为疗法 (Psychotherapy: Cognitive-Behavioral Therapy) 心理治疗：家庭治疗 (Psychotherapy: Family Therapy) 精神病理学  (Psychopathology) 心理学伦理问题 (Ethical Issues in Psychology) 神经心理学 (Neuropsychology) 健康心理学 (Health Psychology) 精神药理学 (Psychopharmacology) 心理学研究方法 (Research Methods in Psychology) 人类发展和心理健康专题选 (Selected Topics in Human Development and Mental Health) 临床心理学的进展和趋势 (Advances and Trends in Clinical Psychology) 临床实习与督导1 (Clinical Practicum & Supervision I) 临床实习与督导2 (Clinical Practicum & Supervision II) 临床实习与督导3 (Clinical Practicum & Supervision III) 论文 (Thesis),,澳门
澳门科技大学,药学硕士,Master of Pharmacy,"社科,药学,医学院",专业方向: 药学 入学时间: 1/9月 项目时长: 2.5年 项目学费: 96000港币/年,具有学士学位，修读药学、医学、护理、生命科学、化学、材料科学等相关专业,澳门科技大学药学硕士课程以培养从事药学研究的高素质科研后备力量和学术精英为目标，培养深入了解相关研究领域的最新前沿信息，成为相关药学研究方面的专才精英；培养具有独立从事科学研究工作的能力，在科学或专门技术上做出创造性成果的高级专门人才，如从事药物研发、药物制剂与剂型设计、合成生产、药品检验、药理实验与评价等方面的专业事务。,,药学英语 (Pharmaceutical English) 药学前沿进展 (Advances in Medicine Pharmaceutic) 临床药理学 (Clinical Pharmacology) 高等药学实验方法学 (Advanced Methodology in Pharmacy) 科技文献检索与论文写作 (Literature Retrieval and Scientific Writing) 医学统计学 (Medical Statistics) 现代生物技术与新药研究 (Modern Biotechnology in Novel Drug Development) 高等药剂学 (Advanced Pharmaceutics) 高等药物化学 (Advanced Medicinal Chemistry) 仪器分析 (Instrumental Analysis) 临床循证药学 (Clinical Evidence-based Pharmacy) 论文 (Thesis),,澳门
澳门大学,哲学文学硕士,MA Philosophy,"社科,哲学,人文学院",专业方向: 哲学 入学时间: 8月 项目时长: 2年 项目学费: 87000澳门币/年,持有澳门大学认可的学士学位或同等学历。申请人也可能被要求具备其他知识或专业经验。申请人必须在学士学位学习中达到相当于C级或更高的总成绩,澳门大学哲学文学硕士学位总体目标和理念是为毕业生提供坚实的理论基础和实用的哲学技能，且让他们广泛应用该技能，不仅仅是作用于哲学研究者或教师的传统职业生涯。该专业旨在容纳拥有哲学文学学士学位和其他在不同领域下钻研学习的学生。对于一些人来说，它将提供一条通往研究的途径，而对于另一些人来说，它将以建立且超越以前的研究领域的方式扩展他们的知识面。,,"哲学写作与方法论 (Philosophical Writing and Methodology) 政治，伦理和社会 (Politics, Ethics and Society) 逻辑和批判性思维 (Logic and Critical Thinking) 心灵与世界 (Mind and World) 西方哲学史 (History of Western Philosophy) 中国哲学史 (History of Chinese Philosophy) 项目报告 (Project Report) 亚洲哲学的杰出人物与作品 (Key Figures and Texts in Asian Philosophy) 西方哲学的杰出人物与作品 (Key Figures and Texts in Western Philosophy) 科学哲学 (Philosophy of Science) 实践哲学 (Practical Philosophy) 比较哲学 (Comparative Philosophy) 世界哲学 (World Philosophies) 哲学专题 (Special Topics in Philosophy) 生命的意义 (The Meaning of Life) 元宇宙哲学 (Philosophy of the Metaverse)",,澳门
